Country,Entry ID,Mutiple Phase,Capacity (MW),Installation Type,Cancelled,Start year,Owner,Estimated Project Cost (GBP),Annual Wind Speed (m/s),Distance to Shore For Offshore (km),Ocean Depth For Offshore (m),Inflation in Project Country (HCPI),Energy Inflation in Project Country (EPI),Country GDP Growth Rate,Government Debt as Percentage of GDP,Country Credit Rating,Project Description
Estonia,1557,1,39,Onshore,0,2009,Enefit Green,53001000,7.436666667,,,-0.078406587,1.023959398,-14.63022031,7.239321,15,"Evaluate the probability of success for a 39.0 MW Onshore wind farm in Estonia. It is a multi phase project beginning in 2009, with a cost of 53001000.0 GBP and is owned by Enefit Green. The project is onshore, and the average annual wind speed is 7.437 m/s. Estonia has a credit rating of 15/21, with a GDP growth of -14.630% and 7.239% of its GDP in debt. The inflation rate is -0.078 and the energy inflation rate is 1.024."
Ireland,4430,1,15,Onshore,0,2000,Saorgus Energy LTD,20385000,8.13,,,5.590713024,9.554242134,9.403524598,36.40134,20,"Evaluate the probability of success for a 15.0 MW Onshore wind farm in Ireland. It is a multi phase project beginning in 2000, with a cost of 20385000.0 GBP and is owned by Saorgus Energy LTD. The project is onshore, and the average annual wind speed is 8.130 m/s. Ireland has a credit rating of 20/21, with a GDP growth of 9.404% and 36.401% of its GDP in debt. The inflation rate is 5.591 and the energy inflation rate is 9.554."
Sweden,6049,0,10,Onshore,0,2007,Eolus Vind AB,13590000,6.13,,,2.212168932,0,3.224911317,39.07255,21,"Evaluate the probability of success for a 10.0 MW Onshore wind farm in Sweden. It is a single phase project beginning in 2007, with a cost of 13590000.0 GBP and is owned by Eolus Vind AB. The project is onshore, and the average annual wind speed is 6.130 m/s. Sweden has a credit rating of 21/21, with a GDP growth of 3.225% and 39.073% of its GDP in debt. The inflation rate is 2.212 and the energy inflation rate is 0.000."
Netherlands,1596,0,38,Onshore,0,2016,DSM; AkzoNobel Speciality Chemicals; Google; Koninklijke Philips NV (PHILIPS),51642000,7.34,,,0.316665649,0.598285437,2.424285765,60.8827,21,"Evaluate the probability of success for a 38.0 MW Onshore wind farm in Netherlands. It is a single phase project beginning in 2016, with a cost of 51642000.0 GBP and is owned by DSM and  AkzoNobel Speciality Chemicals and  Google and  Koninklijke Philips NV (PHILIPS). The project is onshore, and the average annual wind speed is 7.340 m/s. Netherlands has a credit rating of 21/21, with a GDP growth of 2.424% and 60.883% of its GDP in debt. The inflation rate is 0.317 and the energy inflation rate is 0.598."
United Kingdom,391,1,108,Onshore,0,2012,ScottishPower Renewables,146772000,7.72,,,2.564104319,2.724234581,1.508998374,84.4826,21,"Evaluate the probability of success for a 108.0 MW Onshore wind farm in United Kingdom. It is a multi phase project beginning in 2012, with a cost of 146772000.0 GBP and is owned by ScottishPower Renewables. The project is onshore, and the average annual wind speed is 7.720 m/s. United Kingdom has a credit rating of 21/21, with a GDP growth of 1.509% and 84.483% of its GDP in debt. The inflation rate is 2.564 and the energy inflation rate is 2.724."
United Kingdom,2555,1,26,Onshore,0,2010,EDF,35334000,7.166666667,,,2.502840519,-0.361241519,2.233315126,75.86023,21,"Evaluate the probability of success for a 26.0 MW Onshore wind farm in United Kingdom. It is a multi phase project beginning in 2010, with a cost of 35334000.0 GBP and is owned by EDF. The project is onshore, and the average annual wind speed is 7.167 m/s. United Kingdom has a credit rating of 21/21, with a GDP growth of 2.233% and 75.860% of its GDP in debt. The inflation rate is 2.503 and the energy inflation rate is -0.361."
Germany,3222,0,21,Onshore,0,2015,CEE,28539000,6.63,,,0.514420152,-0.414969653,1.652719772,70.55988,21,"Evaluate the probability of success for a 21.0 MW Onshore wind farm in Germany. It is a single phase project beginning in 2015, with a cost of 28539000.0 GBP and is owned by CEE. The project is onshore, and the average annual wind speed is 6.630 m/s. Germany has a credit rating of 21/21, with a GDP growth of 1.653% and 70.560% of its GDP in debt. The inflation rate is 0.514 and the energy inflation rate is -0.415."
United Kingdom,1419,1,41.4,Onshore,0,2013,Fred Olsen Renewables AB,56262600,7.726666667,,,2.291663408,2.352421284,1.799921494,85.31606,20,"Evaluate the probability of success for a 41.4 MW Onshore wind farm in United Kingdom. It is a multi phase project beginning in 2013, with a cost of 56262600.0 GBP and is owned by Fred Olsen Renewables AB. The project is onshore, and the average annual wind speed is 7.727 m/s. United Kingdom has a credit rating of 20/21, with a GDP growth of 1.800% and 85.316% of its GDP in debt. The inflation rate is 2.292 and the energy inflation rate is 2.352."
Denmark,4330,0,15,Onshore,0,2014,European Energy A/S,20385000,8.26,,,0.564021528,1.497840524,1.277999794,44.29045,21,"Evaluate the probability of success for a 15.0 MW Onshore wind farm in Denmark. It is a single phase project beginning in 2014, with a cost of 20385000.0 GBP and is owned by European Energy A/S. The project is onshore, and the average annual wind speed is 8.260 m/s. Denmark has a credit rating of 21/21, with a GDP growth of 1.278% and 44.290% of its GDP in debt. The inflation rate is 0.564 and the energy inflation rate is 1.498."
Germany,4629,0,14,Onshore,0,2012,ABO Wind,19026000,5.62,,,2.008486986,2.23366785,0.474291306,79.15729,21,"Evaluate the probability of success for a 14.0 MW Onshore wind farm in Germany. It is a single phase project beginning in 2012, with a cost of 19026000.0 GBP and is owned by ABO Wind. The project is onshore, and the average annual wind speed is 5.620 m/s. Germany has a credit rating of 21/21, with a GDP growth of 0.474% and 79.157% of its GDP in debt. The inflation rate is 2.008 and the energy inflation rate is 2.234."
Denmark,41,0,605,Offshore hard mount,0,2021,Vattenfall AB,1606992429,8.083333333,28.45,28.59,1.853045,11.53909,7.38206629,35.78105,21,"Evaluate the probability of success for a 605.0 MW Offshore hard mount wind farm in Denmark. It is a single phase project beginning in 2021, with a cost of 1606992429.0 GBP and is owned by Vattenfall AB. The project is 28.45 km from shore at a depth of 28.59 meters, and the average annual wind speed is 8.083 m/s. Denmark has a credit rating of 21/21, with a GDP growth of 7.382% and 35.781% of its GDP in debt. The inflation rate is 1.853 and the energy inflation rate is 11.539."
Germany,3208,0,21,Onshore,0,2017,Windpark Ingenieurbau GMBH,28539000,6.65,,,1.711,1.241764545,2.716024519,63.95238,21,"Evaluate the probability of success for a 21.0 MW Onshore wind farm in Germany. It is a single phase project beginning in 2017, with a cost of 28539000.0 GBP and is owned by Windpark Ingenieurbau GMBH. The project is onshore, and the average annual wind speed is 6.650 m/s. Germany has a credit rating of 21/21, with a GDP growth of 2.716% and 63.952% of its GDP in debt. The inflation rate is 1.711 and the energy inflation rate is 1.242."
France,2977,1,23,Onshore,0,2006,Enerfrance,31257000,6.606666667,,,1.675130725,4.659837723,2.714064518,65.32475,21,"Evaluate the probability of success for a 23.0 MW Onshore wind farm in France. It is a multi phase project beginning in 2006, with a cost of 31257000.0 GBP and is owned by Enerfrance. The project is onshore, and the average annual wind speed is 6.607 m/s. France has a credit rating of 21/21, with a GDP growth of 2.714% and 65.325% of its GDP in debt. The inflation rate is 1.675 and the energy inflation rate is 4.660."
United Kingdom,4061,0,16.1,Onshore,0,2023,Orsted,21879900,8.58,,,6.793967068,8.10650006,0.339966158,101.1471,18,"Evaluate the probability of success for a 16.1 MW Onshore wind farm in United Kingdom. It is a single phase project beginning in 2023, with a cost of 21879900.0 GBP and is owned by Orsted. The project is onshore, and the average annual wind speed is 8.580 m/s. United Kingdom has a credit rating of 18/21, with a GDP growth of 0.340% and 101.147% of its GDP in debt. The inflation rate is 6.794 and the energy inflation rate is 8.107."
Germany,2985,1,23,Onshore,0,2002,RWE AG,31257000,6.646666667,,,1.420809388,0.910149872,-0.228310249,59.26526,21,"Evaluate the probability of success for a 23.0 MW Onshore wind farm in Germany. It is a multi phase project beginning in 2002, with a cost of 31257000.0 GBP and is owned by RWE AG. The project is onshore, and the average annual wind speed is 6.647 m/s. Germany has a credit rating of 21/21, with a GDP growth of -0.228% and 59.265% of its GDP in debt. The inflation rate is 1.421 and the energy inflation rate is 0.910."
Germany,4614,0,14,Onshore,0,2013,Energiekontor,19026000,6.44,,,1.504725099,1.971489668,0.386224576,76.79466,21,"Evaluate the probability of success for a 14.0 MW Onshore wind farm in Germany. It is a single phase project beginning in 2013, with a cost of 19026000.0 GBP and is owned by Energiekontor. The project is onshore, and the average annual wind speed is 6.440 m/s. Germany has a credit rating of 21/21, with a GDP growth of 0.386% and 76.795% of its GDP in debt. The inflation rate is 1.505 and the energy inflation rate is 1.971."
France,6041,0,10,Onshore,0,2008,Renantis UK Ltd,13590000,6.46,,,2.812865257,4.735337734,0.380171426,69.73569,21,"Evaluate the probability of success for a 10.0 MW Onshore wind farm in France. It is a single phase project beginning in 2008, with a cost of 13590000.0 GBP and is owned by Renantis UK Ltd. The project is onshore, and the average annual wind speed is 6.460 m/s. France has a credit rating of 21/21, with a GDP growth of 0.380% and 69.736% of its GDP in debt. The inflation rate is 2.813 and the energy inflation rate is 4.735."
United Kingdom,2469,0,27,Onshore,1,2014,Renewable Energy Systems (RES),36693000,7.326666667,,,1.425663471,1.997074246,3.194637313,87.09433,21,"Evaluate the probability of success for a 27.0 MW Onshore wind farm in United Kingdom. It is a single phase project beginning in 2014, with a cost of 36693000.0 GBP and is owned by Renewable Energy Systems (RES). The project is onshore, and the average annual wind speed is 7.327 m/s. United Kingdom has a credit rating of 21/21, with a GDP growth of 3.195% and 87.094% of its GDP in debt. The inflation rate is 1.426 and the energy inflation rate is 1.997."
Germany,3035,0,22,Onshore,0,2021,Glockenstadt Energiegenossenschaft eG; Gescher Burgerwind GMBH & CO KG,29898000,6.72,,,3.14297,10.7082,3.669999862,67.87883,21,"Evaluate the probability of success for a 22.0 MW Onshore wind farm in Germany. It is a single phase project beginning in 2021, with a cost of 29898000.0 GBP and is owned by Glockenstadt Energiegenossenschaft eG and  Gescher Burgerwind GMBH & CO KG. The project is onshore, and the average annual wind speed is 6.720 m/s. Germany has a credit rating of 21/21, with a GDP growth of 3.670% and 67.879% of its GDP in debt. The inflation rate is 3.143 and the energy inflation rate is 10.708."
Greece,5482,0,12,Onshore,0,2000,Terna Energy,16308000,6.51,,,3.151180029,6.178898335,4.137827099,104.9344,15,"Evaluate the probability of success for a 12.0 MW Onshore wind farm in Greece. It is a single phase project beginning in 2000, with a cost of 16308000.0 GBP and is owned by Terna Energy. The project is onshore, and the average annual wind speed is 6.510 m/s. Greece has a credit rating of 15/21, with a GDP growth of 4.138% and 104.934% of its GDP in debt. The inflation rate is 3.151 and the energy inflation rate is 6.179."
Bulgaria,3772,0,18,Onshore,0,2010,Italgen,24462000,5.576666667,,,2.443273544,0.482104659,1.555359635,22.1016,13,"Evaluate the probability of success for a 18.0 MW Onshore wind farm in Bulgaria. It is a single phase project beginning in 2010, with a cost of 24462000.0 GBP and is owned by Italgen. The project is onshore, and the average annual wind speed is 5.577 m/s. Bulgaria has a credit rating of 13/21, with a GDP growth of 1.555% and 22.102% of its GDP in debt. The inflation rate is 2.443 and the energy inflation rate is 0.482."
Poland,5850,0,10,Onshore,0,2015,Elawan Energy SL,13590000,6.19,,,-0.874127567,0.702593625,4.431767003,51.34457,16,"Evaluate the probability of success for a 10.0 MW Onshore wind farm in Poland. It is a single phase project beginning in 2015, with a cost of 13590000.0 GBP and is owned by Elawan Energy SL. The project is onshore, and the average annual wind speed is 6.190 m/s. Poland has a credit rating of 16/21, with a GDP growth of 4.432% and 51.345% of its GDP in debt. The inflation rate is -0.874 and the energy inflation rate is 0.703."
Germany,1702,0,36,Onshore,0,2021,SL NaturEnergie GMBH,48924000,6.69,,,3.14297,10.7082,3.669999862,67.87883,21,"Evaluate the probability of success for a 36.0 MW Onshore wind farm in Germany. It is a single phase project beginning in 2021, with a cost of 48924000.0 GBP and is owned by SL NaturEnergie GMBH. The project is onshore, and the average annual wind speed is 6.690 m/s. Germany has a credit rating of 21/21, with a GDP growth of 3.670% and 67.879% of its GDP in debt. The inflation rate is 3.143 and the energy inflation rate is 10.708."
France,5276,0,12,Onshore,0,2010,Ventient Energy,16308000,5.86,,,1.531118512,3.301385641,2.000324727,86.31331,21,"Evaluate the probability of success for a 12.0 MW Onshore wind farm in France. It is a single phase project beginning in 2010, with a cost of 16308000.0 GBP and is owned by Ventient Energy. The project is onshore, and the average annual wind speed is 5.860 m/s. France has a credit rating of 21/21, with a GDP growth of 2.000% and 86.313% of its GDP in debt. The inflation rate is 1.531 and the energy inflation rate is 3.301."
Austria,6140,1,10,Onshore,0,2001,PUSPOK Group,13590000,6.31,,,2.649995804,3.119999886,1.316987609,66.72894,21,"Evaluate the probability of success for a 10.0 MW Onshore wind farm in Austria. It is a multi phase project beginning in 2001, with a cost of 13590000.0 GBP and is owned by PUSPOK Group. The project is onshore, and the average annual wind speed is 6.310 m/s. Austria has a credit rating of 21/21, with a GDP growth of 1.317% and 66.729% of its GDP in debt. The inflation rate is 2.650 and the energy inflation rate is 3.120."
Spain,3333,1,20,Onshore,0,2018,Alas Capital SA,27180000,6.513333333,,,1.68,2.365603924,2.395411204,99.71828,14,"Evaluate the probability of success for a 20.0 MW Onshore wind farm in Spain. It is a multi phase project beginning in 2018, with a cost of 27180000.0 GBP and is owned by Alas Capital SA. The project is onshore, and the average annual wind speed is 6.513 m/s. Spain has a credit rating of 14/21, with a GDP growth of 2.395% and 99.718% of its GDP in debt. The inflation rate is 1.680 and the energy inflation rate is 2.366."
France,5603,0,11,Onshore,0,2015,Ventient Energy,14949000,5.503333333,,,0.037512854,0.410003603,1.066754735,97.07373,19,"Evaluate the probability of success for a 11.0 MW Onshore wind farm in France. It is a single phase project beginning in 2015, with a cost of 14949000.0 GBP and is owned by Ventient Energy. The project is onshore, and the average annual wind speed is 5.503 m/s. France has a credit rating of 19/21, with a GDP growth of 1.067% and 97.074% of its GDP in debt. The inflation rate is 0.038 and the energy inflation rate is 0.410."
Italy,1486,0,40,Onshore,0,2012,ERG,54360000,5.483333333,,,3.041360378,7.027999878,-3.125238795,125.8705,16,"Evaluate the probability of success for a 40.0 MW Onshore wind farm in Italy. It is a single phase project beginning in 2012, with a cost of 54360000.0 GBP and is owned by ERG. The project is onshore, and the average annual wind speed is 5.483 m/s. Italy has a credit rating of 16/21, with a GDP growth of -3.125% and 125.871% of its GDP in debt. The inflation rate is 3.041 and the energy inflation rate is 7.028."
Spain,1340,0,43,Onshore,0,2009,other ; Eolia Renovables SA (EOLIASUR) ; URIEL Renewables INC,58437000,6.613333333,,,-0.28799358,1.29409802,-3.768133072,53.07928,20,"Evaluate the probability of success for a 43.0 MW Onshore wind farm in Spain. It is a single phase project beginning in 2009, with a cost of 58437000.0 GBP and is owned by other  and  Eolia Renovables SA (EOLIASUR)  and  URIEL Renewables INC. The project is onshore, and the average annual wind speed is 6.613 m/s. Spain has a credit rating of 20/21, with a GDP growth of -3.768% and 53.079% of its GDP in debt. The inflation rate is -0.288 and the energy inflation rate is 1.294."
United Kingdom,4023,0,17,Onshore,0,1997,RWE AG,23103000,7.506666667,,,2.189780951,2.978894234,4.924648319,44.13203,21,"Evaluate the probability of success for a 17.0 MW Onshore wind farm in United Kingdom. It is a single phase project beginning in 1997, with a cost of 23103000.0 GBP and is owned by RWE AG. The project is onshore, and the average annual wind speed is 7.507 m/s. United Kingdom has a credit rating of 21/21, with a GDP growth of 4.925% and 44.132% of its GDP in debt. The inflation rate is 2.190 and the energy inflation rate is 2.979."
Germany,6142,0,10,Onshore,0,2000,Stadtwerke Ulrichstein (SWU); Burgerwind,13590000,6.116666667,,,1.44027102,2.786129236,2.877245948,58.7667,21,"Evaluate the probability of success for a 10.0 MW Onshore wind farm in Germany. It is a single phase project beginning in 2000, with a cost of 13590000.0 GBP and is owned by Stadtwerke Ulrichstein (SWU) and  Burgerwind. The project is onshore, and the average annual wind speed is 6.117 m/s. Germany has a credit rating of 21/21, with a GDP growth of 2.877% and 58.767% of its GDP in debt. The inflation rate is 1.440 and the energy inflation rate is 2.786."
France,1328,0,43,Onshore,0,2022,Renewables Infrastructure Group LTD (TRIG),58437000,5.845,,,5.222367,23.73546019,2.570840474,111.9513,19,"Evaluate the probability of success for a 43.0 MW Onshore wind farm in France. It is a single phase project beginning in 2022, with a cost of 58437000.0 GBP and is owned by Renewables Infrastructure Group LTD (TRIG). The project is onshore, and the average annual wind speed is 5.845 m/s. France has a credit rating of 19/21, with a GDP growth of 2.571% and 111.951% of its GDP in debt. The inflation rate is 5.222 and the energy inflation rate is 23.735."
Italy,3331,0,20,Onshore,0,2018,Inergia SPA,27180000,5.6,,,1.14,2.564749718,0.826646697,134.138,13,"Evaluate the probability of success for a 20.0 MW Onshore wind farm in Italy. It is a single phase project beginning in 2018, with a cost of 27180000.0 GBP and is owned by Inergia SPA. The project is onshore, and the average annual wind speed is 5.600 m/s. Italy has a credit rating of 13/21, with a GDP growth of 0.827% and 134.138% of its GDP in debt. The inflation rate is 1.140 and the energy inflation rate is 2.565."
Germany,4657,0,14,Onshore,0,2009,enercity AG,19026000,6.383333333,,,0.312738299,0.419552684,-5.545164538,71.71568,21,"Evaluate the probability of success for a 14.0 MW Onshore wind farm in Germany. It is a single phase project beginning in 2009, with a cost of 19026000.0 GBP and is owned by enercity AG. The project is onshore, and the average annual wind speed is 6.383 m/s. Germany has a credit rating of 21/21, with a GDP growth of -5.545% and 71.716% of its GDP in debt. The inflation rate is 0.313 and the energy inflation rate is 0.420."
Finland,4921,1,12.9,Onshore,0,2023,Ilmatar,17531100,4.68,,,6.250643222,-1.180894007,-1.163962815,77.02499,20,"Evaluate the probability of success for a 12.9 MW Onshore wind farm in Finland. It is a multi phase project beginning in 2023, with a cost of 17531100.0 GBP and is owned by Ilmatar. The project is onshore, and the average annual wind speed is 4.680 m/s. Finland has a credit rating of 20/21, with a GDP growth of -1.164% and 77.025% of its GDP in debt. The inflation rate is 6.251 and the energy inflation rate is -1.181."
Germany,2139,0,30,Onshore,0,2018,Thuga Erneuerbare Energien GMBH & CO KG; RhonEnergie Erneuerbare GMBH,40770000,6.15,,,1.73,1.753376603,1.116443109,60.72854,21,"Evaluate the probability of success for a 30.0 MW Onshore wind farm in Germany. It is a single phase project beginning in 2018, with a cost of 40770000.0 GBP and is owned by Thuga Erneuerbare Energien GMBH & CO KG and  RhonEnergie Erneuerbare GMBH. The project is onshore, and the average annual wind speed is 6.150 m/s. Germany has a credit rating of 21/21, with a GDP growth of 1.116% and 60.729% of its GDP in debt. The inflation rate is 1.730 and the energy inflation rate is 1.753."
Sweden,1838,1,34,Onshore,0,2022,Rabbalshede Kraft AB,46206000,4.12,,,8.369291,32.9286103,1.459288508,33.75297,21,"Evaluate the probability of success for a 34.0 MW Onshore wind farm in Sweden. It is a multi phase project beginning in 2022, with a cost of 46206000.0 GBP and is owned by Rabbalshede Kraft AB. The project is onshore, and the average annual wind speed is 4.120 m/s. Sweden has a credit rating of 21/21, with a GDP growth of 1.459% and 33.753% of its GDP in debt. The inflation rate is 8.369 and the energy inflation rate is 32.929."
Spain,1757,0,36,Onshore,0,2006,Acciona,48924000,5.243333333,,,3.515373945,6.521553516,4.043435207,39.01906,21,"Evaluate the probability of success for a 36.0 MW Onshore wind farm in Spain. It is a single phase project beginning in 2006, with a cost of 48924000.0 GBP and is owned by Acciona. The project is onshore, and the average annual wind speed is 5.243 m/s. Spain has a credit rating of 21/21, with a GDP growth of 4.043% and 39.019% of its GDP in debt. The inflation rate is 3.515 and the energy inflation rate is 6.522."
Greece,4265,0,15,Onshore,1,?,ES Rodopes,20385000,,,,,,,,,"Evaluate the probability of success for a 15.0 MW Onshore wind farm in Greece. It is a single phase project beginning in an unknwon year, with a cost of 20385000.0 GBP and is owned by ES Rodopes. The project is onshore."
France,5242,0,12,Onshore,0,2011,3D Energies,16308000,6.13,,,2.111598015,4.445785046,2.437576569,88.9102,21,"Evaluate the probability of success for a 12.0 MW Onshore wind farm in France. It is a single phase project beginning in 2011, with a cost of 16308000.0 GBP and is owned by 3D Energies. The project is onshore, and the average annual wind speed is 6.130 m/s. France has a credit rating of 21/21, with a GDP growth of 2.438% and 88.910% of its GDP in debt. The inflation rate is 2.112 and the energy inflation rate is 4.446."
France,5569,0,11,Onshore,0,2020,LHI Group,14949000,7.46,,,0.476498853,-0.206244222,-7.44064593,114.853,20,"Evaluate the probability of success for a 11.0 MW Onshore wind farm in France. It is a single phase project beginning in 2020, with a cost of 14949000.0 GBP and is owned by LHI Group. The project is onshore, and the average annual wind speed is 7.460 m/s. France has a credit rating of 20/21, with a GDP growth of -7.441% and 114.853% of its GDP in debt. The inflation rate is 0.476 and the energy inflation rate is -0.206."
Italy,1954,0,33,Onshore,0,2007,Alerion,44847000,5.216666667,,,1.829737067,2.57996273,1.462292025,103.4538,17,"Evaluate the probability of success for a 33.0 MW Onshore wind farm in Italy. It is a single phase project beginning in 2007, with a cost of 44847000.0 GBP and is owned by Alerion. The project is onshore, and the average annual wind speed is 5.217 m/s. Italy has a credit rating of 17/21, with a GDP growth of 1.462% and 103.454% of its GDP in debt. The inflation rate is 1.830 and the energy inflation rate is 2.580."
France,5303,0,12,Onshore,0,2009,EOS Holdings,16308000,6.043333333,,,0.087618731,-0.113706842,-2.824551503,84.03127,21,"Evaluate the probability of success for a 12.0 MW Onshore wind farm in France. It is a single phase project beginning in 2009, with a cost of 16308000.0 GBP and is owned by EOS Holdings. The project is onshore, and the average annual wind speed is 6.043 m/s. France has a credit rating of 21/21, with a GDP growth of -2.825% and 84.031% of its GDP in debt. The inflation rate is 0.088 and the energy inflation rate is -0.114."
Spain,1563,1,39,Onshore,0,2007,Inversiones Empresariales Vapat SL,53001000,5.52,,,2.787031889,3.659707785,3.533500122,35.69813,21,"Evaluate the probability of success for a 39.0 MW Onshore wind farm in Spain. It is a multi phase project beginning in 2007, with a cost of 53001000.0 GBP and is owned by Inversiones Empresariales Vapat SL. The project is onshore, and the average annual wind speed is 5.520 m/s. Spain has a credit rating of 21/21, with a GDP growth of 3.534% and 35.698% of its GDP in debt. The inflation rate is 2.787 and the energy inflation rate is 3.660."
France,5124,0,12,Onshore,0,2014,Allianz SE,16308000,6.73,,,0.507763743,1.757389784,0.997832938,96.3175,21,"Evaluate the probability of success for a 12.0 MW Onshore wind farm in France. It is a single phase project beginning in 2014, with a cost of 16308000.0 GBP and is owned by Allianz SE. The project is onshore, and the average annual wind speed is 6.730 m/s. France has a credit rating of 21/21, with a GDP growth of 0.998% and 96.317% of its GDP in debt. The inflation rate is 0.508 and the energy inflation rate is 1.757."
Norway,2130,0,30,Onshore,0,2020,EWZ,40770000,5.823333333,,,1.286584907,-3.487698987,-1.278171785,46.1091,21,"Evaluate the probability of success for a 30.0 MW Onshore wind farm in Norway. It is a single phase project beginning in 2020, with a cost of 40770000.0 GBP and is owned by EWZ. The project is onshore, and the average annual wind speed is 5.823 m/s. Norway has a credit rating of 21/21, with a GDP growth of -1.278% and 46.109% of its GDP in debt. The inflation rate is 1.287 and the energy inflation rate is -3.488."
Germany,4807,1,13,Onshore,0,2021,EnBW,17667000,6.733333333,,,3.14297,10.7082,3.669999862,67.87883,21,"Evaluate the probability of success for a 13.0 MW Onshore wind farm in Germany. It is a multi phase project beginning in 2021, with a cost of 17667000.0 GBP and is owned by EnBW. The project is onshore, and the average annual wind speed is 6.733 m/s. Germany has a credit rating of 21/21, with a GDP growth of 3.670% and 67.879% of its GDP in debt. The inflation rate is 3.143 and the energy inflation rate is 10.708."
Spain,1084,0,49,Onshore,0,2009,Iberdrola,66591000,5.086666667,,,-0.28799358,1.29409802,-3.768133072,53.07928,20,"Evaluate the probability of success for a 49.0 MW Onshore wind farm in Spain. It is a single phase project beginning in 2009, with a cost of 66591000.0 GBP and is owned by Iberdrola. The project is onshore, and the average annual wind speed is 5.087 m/s. Spain has a credit rating of 20/21, with a GDP growth of -3.768% and 53.079% of its GDP in debt. The inflation rate is -0.288 and the energy inflation rate is 1.294."
Spain,3392,0,20,Offshore floating,1,2013,Interstate Renewable Energy Council (IREC),76835333.33,5.373333333,2.69,88.98,1.408547759,0.910149992,-1.427322192,100.0003,12,"Evaluate the probability of success for a 20.0 MW Offshore floating wind farm in Spain. It is a single phase project beginning in 2013, with a cost of 76835333.33 GBP and is owned by Interstate Renewable Energy Council (IREC). The project is 2.69 km from shore at a depth of 88.98 meters, and the average annual wind speed is 5.373 m/s. Spain has a credit rating of 12/21, with a GDP growth of -1.427% and 100.000% of its GDP in debt. The inflation rate is 1.409 and the energy inflation rate is 0.910."
Portugal,3815,0,18,Onshore,0,2006,Ventient Energy,24462000,3.75,,,3.1076684,3.856348753,1.625034638,73.67943,18,"Evaluate the probability of success for a 18.0 MW Onshore wind farm in Portugal. It is a single phase project beginning in 2006, with a cost of 24462000.0 GBP and is owned by Ventient Energy. The project is onshore, and the average annual wind speed is 3.750 m/s. Portugal has a credit rating of 18/21, with a GDP growth of 1.625% and 73.679% of its GDP in debt. The inflation rate is 3.108 and the energy inflation rate is 3.856."
Italy,2896,0,24,Onshore,0,-,Fri-El SPA,32616000,5.110434783,,,,,,,,"Evaluate the probability of success for a 24.0 MW Onshore wind farm in Italy. It is a single phase project beginning in an unknwon year, with a cost of 32616000.0 GBP and is owned by Fri-El SPA. The project is onshore."
France,5942,0,10,Onshore,0,2011,Allianz SE,13590000,6.01,,,2.111598015,4.445785046,2.437576569,88.9102,21,"Evaluate the probability of success for a 10.0 MW Onshore wind farm in France. It is a single phase project beginning in 2011, with a cost of 13590000.0 GBP and is owned by Allianz SE. The project is onshore, and the average annual wind speed is 6.010 m/s. France has a credit rating of 21/21, with a GDP growth of 2.438% and 88.910% of its GDP in debt. The inflation rate is 2.112 and the energy inflation rate is 4.446."
France,1597,0,38,Onshore,0,2015,Ostwind,51642000,4.803333333,,,0.037512854,0.410003603,1.066754735,97.07373,19,"Evaluate the probability of success for a 38.0 MW Onshore wind farm in France. It is a single phase project beginning in 2015, with a cost of 51642000.0 GBP and is owned by Ostwind. The project is onshore, and the average annual wind speed is 4.803 m/s. France has a credit rating of 19/21, with a GDP growth of 1.067% and 97.074% of its GDP in debt. The inflation rate is 0.038 and the energy inflation rate is 0.410."
France,2365,0,28,Onshore,0,2015,Engie,38052000,6.373333333,,,0.037512854,0.410003603,1.066754735,97.07373,19,"Evaluate the probability of success for a 28.0 MW Onshore wind farm in France. It is a single phase project beginning in 2015, with a cost of 38052000.0 GBP and is owned by Engie. The project is onshore, and the average annual wind speed is 6.373 m/s. France has a credit rating of 19/21, with a GDP growth of 1.067% and 97.074% of its GDP in debt. The inflation rate is 0.038 and the energy inflation rate is 0.410."
Netherlands,1982,1,32,Onshore,0,2024,Windkoepel Groen,43488000,7.18,,,3.838393543,-22.05954498,0.074560722,45.02355,21,"Evaluate the probability of success for a 32.0 MW Onshore wind farm in Netherlands. It is a multi phase project beginning in 2024, with a cost of 43488000.0 GBP and is owned by Windkoepel Groen. The project is onshore, and the average annual wind speed is 7.180 m/s. Netherlands has a credit rating of 21/21, with a GDP growth of 0.075% and 45.024% of its GDP in debt. The inflation rate is 3.838 and the energy inflation rate is -22.060."
Germany,4906,1,13,Onshore,0,2000,PNE AG,17667000,6.956666667,,,1.44027102,2.786129236,2.877245948,58.7667,21,"Evaluate the probability of success for a 13.0 MW Onshore wind farm in Germany. It is a multi phase project beginning in 2000, with a cost of 17667000.0 GBP and is owned by PNE AG. The project is onshore, and the average annual wind speed is 6.957 m/s. Germany has a credit rating of 21/21, with a GDP growth of 2.877% and 58.767% of its GDP in debt. The inflation rate is 1.440 and the energy inflation rate is 2.786."
