Country,Entry ID,Mutiple Phase,Capacity (MW),Installation Type,Cancelled,Start year,Owner,Estimated Project Cost (GBP),Annual Wind Speed (m/s),Distance to Shore For Offshore (km),Ocean Depth For Offshore (m),Inflation in Project Country (HCPI),Energy Inflation in Project Country (EPI),Country GDP Growth Rate,Government Debt as Percentage of GDP,Country Credit Rating
France,4471,0,14.4,Onshore,1,-,GEG ENeR,19569600,6.10826087,,,,,,,
Belgium,2636,1,25,Onshore,0,2023,Ventis,33975000,6.62,,,4.049010776,-20.82351047,1.251700632,105.1709,19
Germany,1471,0,40,Onshore,0,2016,iNeG IngenieurNetzwerk Energie,54360000,6.833333333,,,0.491744995,0,2.294710677,67.63065,21
Netherlands,296,0,141,Offshore hard mount,1,2005,Eneco,383065839,8.476666667,50.22,23.54,1.688127518,4.622814655,2.033963249,49.57984,21
France,5859,0,10,Onshore,0,2015,Leonidas Associates,13590000,5.85,,,0.037512854,0.410003603,1.066754735,97.07373,19
United Kingdom,1363,0,42,Onshore,1,2020,Burcote Wind; ERG,57078000,7.44,,,0.989486704,0.876648565,-10.29691887,105.8001,20
France,5170,0,12,Onshore,0,2013,AXA,16308000,7.323333333,,,0.863710403,2.433341503,0.781756446,94.68683,19
Denmark,243,1,166,Offshore hard mount,0,2003,E.ON ; Energi E2 AS ; Orsted,433173929,8.07,11.67,10.21,2.075077534,2.474958897,0.441090995,46.0814,21
Spain,4910,0,13,Onshore,0,1997,Enel,17667000,4.933333333,,,1.971074224,3.443284035,3.587299762,64.2863,19
Germany,3934,0,17,Onshore,0,2020,Juwi GmbH,23103000,5.186666667,,,0.50668989,0.699134027,-4.095137491,67.85817,21
Poland,3308,1,20,Onshore,0,2022,EDP,27180000,6.46,,,14.3,29.09904934,5.255456974,49.1991,15
Denmark,2290,0,29,Onshore,0,2018,HOFOR AS,39411000,8.253333333,,,0.81,1.175891161,1.860007489,34.14801,21
United Kingdom,1346,0,42.5,Onshore,1,2012,Renantis UK Ltd,57757500,7.573333333,,,2.564104319,2.724234581,1.508998374,84.4826,21
Italy,1878,0,34,Onshore,0,2008,E2I Energie Speciali SRL,46206000,4.396666667,,,3.347833157,6.451290131,-1.023138477,105.7877,17
France,5198,1,12,Onshore,0,2012,EDF,16308000,5.493333333,,,1.954202652,3.398922443,0.183835271,91.71756,20
Spain,1603,0,38,Onshore,0,2012,Iberdrola,51642000,4.746666667,,,2.446004391,5.063489914,-2.865113673,89.56038,12
Spain,3127,1,22,Onshore,0,2004,Acciona,29898000,4.526666667,,,3.039197922,3.496448517,3.114531452,45.3327,21
Denmark,2187,1,30,Onshore,0,2009,European Energy A/S,40770000,7.833333333,,,1.304704785,1.954496026,-4.974479075,40.01018,21
Spain,2084,0,31,Onshore,0,2004,Fomentos de Construcciones y Contratas (FCC),42129000,4.553333333,,,3.039197922,3.496448517,3.114531452,45.3327,21
Germany,4915,0,13,Onshore,0,2000,WindStrom,17667000,6.703333333,,,1.44027102,2.786129236,2.877245948,58.7667,21
Spain,1440,1,41,Onshore,0,2007,Acciona,55719000,4.76,,,2.787031889,3.659707785,3.533500122,35.69813,21
Spain,3112,0,22,Onshore,0,2007,Enel,29898000,4.646666667,,,2.787031889,3.659707785,3.533500122,35.69813,21
France,6169,0,10,Onshore,0,2021,NEAG Norddeutsche Energie AG,13590000,7.18,,,1.642331,10.45525,6.882337866,113.0879,20
Germany,2349,1,28,Onshore,0,2021,WestWind Energy PTY LTD,38052000,6.763333333,,,3.14297,10.7082,3.669999862,67.87883,21
Norway,370,0,112,Onshore,0,2018,Gudbrandsdal Energi; Eidsiva Energi; Stadtwerke Munchen GmbH,152208000,3.64,,,2.76,5.010062695,0.828900664,39.40632,21
Belgium,2452,1,27,Onshore,0,2018,Vleemo NV,36693000,6.916666667,,,2.05,3.044097424,1.877968572,99.85589,20
Germany,2693,0,25,Onshore,0,2006,Windpark GMBH & CO Weserbrise KG,33975000,7.223333333,,,1.577432156,2.939437389,3.855736152,65.75402,21
Sweden,4396,0,15,Onshore,0,2008,Rabbalshede Kraft AB,20385000,5.866666667,,,3.437051058,0,-0.923123083,37.73573,21
Portugal,1813,0,35,Onshore,0,2007,Ventient Energy,47565000,4.133333333,,,2.453965664,3.635817766,2.506579715,72.72796,18
United Kingdom,503,0,90,Offshore hard mount,0,2006,Orsted,234061755,7.963333333,8.51,12.76,2.518891573,4.665380001,2.380694025,42.05836,21
France,5341,1,12,Onshore,0,2008,Engie,16308000,5.15,,,2.812865257,4.735337734,0.380171426,69.73569,21
Netherlands,5478,0,12,Onshore,1,2000,Vattenfall AB,16308000,7.343333333,,,2.360524654,4.404682159,4.219753737,52.15473,21
Spain,1397,0,42,Onshore,0,2009,URIEL Renewables INC,57078000,5.933333333,,,-0.28799358,1.29409802,-3.768133072,53.07928,20
Italy,4608,0,14,Onshore,0,2013,EDP,19026000,5.66,,,1.219995141,2.076303005,-1.818025061,131.8163,13
France,5532,0,11.5,Onshore,0,2012,Allianz SE,15628500,5.936666667,,,1.954202652,3.398922443,0.183835271,91.71756,20
Norway,779,1,58,Onshore,0,2008,TronderEnergi Kraft AS ; Stadtwerke Munchen GmbH,78822000,5.083333333,,,3.753922939,6.826536655,0.481919541,47.54502,21
Netherlands,5565,1,11,Onshore,0,2021,Private Owner - Pennings family; Barten; BCTN; Heineken NV,14949000,6.853333333,,,2.67572,17.2592,6.276830732,50.43565,21
Denmark,3928,0,17,Onshore,0,2020,Monument Energy Group,23103000,8.606666667,,,0.420711974,0.256266517,-1.780105988,42.17138,21
Spain,1014,0,50,Onshore,1,2004,Grupo Lamelas Viloria,67950000,4.553333333,,,3.039197922,3.496448517,3.114531452,45.3327,21
France,3706,0,18,Onshore,0,2016,Futuren,24462000,5.866666667,,,0.183335871,-0.11499691,0.860031082,98.02478,19
Portugal,2379,1,28,Onshore,0,2012,Ventient Energy,38052000,5.75,,,2.773337126,8.70805645,-4.050902619,129.035,12
United Kingdom,2543,0,26,Onshore,0,2012,ScottishPower Renewables,35334000,8.05,,,2.564104319,2.724234581,1.508998374,84.4826,21
Germany,1680,0,37,Onshore,0,2003,GERES,50283000,6.123333333,,,1.034225345,1.510221601,-0.529928994,62.70924,21
Spain,4293,0,15,Onshore,1,2018,Norvento,20385000,4.576666667,,,1.68,2.365603924,2.395411204,99.71828,14
France,3049,0,22,Onshore,0,2019,Valorem,29898000,6.26,,,1.299999952,1.744135022,2.027446476,97.88586,19
United Kingdom,818,0,54.4,Onshore,0,2017,EDF,73929600,7.466666667,,,2.683,2.041315317,2.656504893,86.72315,19
Greece,1575,0,38,Onshore,1,?,Jasper Energy Hellas,51642000,,,,,,,,
Spain,1062,0,49.5,Onshore,1,2020,Eolica Alta Anoia SL,67270500,3.963333333,,,-0.322671033,-3.54274493,-10.94007066,119.179,16
Spain,2606,0,26,Onshore,0,2001,Iberdrola,35334000,5.566666667,,,3.589828014,3.382987976,3.919088791,54.05223,21
Spain,2709,0,25,Onshore,0,1998,Eurus Energy,33975000,4.763333333,,,1.834336162,1.4659338,4.301977405,62.35467,19
France,4967,0,12,Onshore,0,2022,Renantis UK Ltd,16308000,6.465,,,5.222367,23.73546019,2.570840474,111.9513,19
United Kingdom,180,1,239,Onshore,0,2017,ScottishPower Renewables,324801000,8.323333333,,,2.683,2.041315317,2.656504893,86.72315,19
Germany,804,0,56,Onshore,0,2006,Breeze Energy,76104000,5.746666667,,,1.577432156,2.939437389,3.855736152,65.75402,21
Germany,6120,0,10,Onshore,0,2004,Volkswind GmbH,13590000,6.736666667,,,1.66573,1.529088616,1.162368267,64.33307,21
Greece,5711,1,10,Onshore,1,?,IdEI SA,13590000,,,,,,,,
Germany,5662,0,11,Onshore,0,2000,Energiekontor,14949000,7.243333333,,,1.44027102,2.786129236,2.877245948,58.7667,21
Austria,5335,1,12,Onshore,0,2008,Windkraft Simonsfeld AG,16308000,6.106666667,,,3.215946436,2.710000038,1.453305598,68.69849,21
Germany,4417,0,15,Onshore,0,2004,WPD,20385000,6.546666667,,,1.66573,1.529088616,1.162368267,64.33307,21
United Kingdom,5692,0,10.5,Onshore,1,2004,E.ON,14269500,7.186666667,,,1.434167027,2.115386009,2.457904411,39.80162,21
France,5402,0,12,Onshore,0,2006,JP Energie Environnement,16308000,6.37,,,1.675130725,4.659837723,2.714064518,65.32475,21
Germany,5838,0,10,Onshore,0,2016,CPC Germania GmbH & Co KG,13590000,6.12,,,0.491744995,0,2.294710677,67.63065,21
Germany,3235,0,21,Onshore,0,2013,WPD,28539000,7.103333333,,,1.504725099,1.971489668,0.386224576,76.79466,21
United Kingdom,5533,0,11.5,Onshore,1,2010,ScottishPower Renewables,15628500,6.923333333,,,2.502840519,-0.361241519,2.233315126,75.86023,21
Norway,103,1,350,Offshore hard mount,1,2008,Havgul Nordic AS,924401508.3,7.593333333,1.49,36.08,3.753922939,6.826536655,0.481919541,47.54502,21
Germany,3506,0,20,Onshore,0,2002,WindStrom,27180000,6.403333333,,,1.420809388,0.910149872,-0.228310249,59.26526,21
Sweden,2939,0,23,Onshore,0,2016,Vardar,31257000,7.736666667,,,0.984268188,4.590000153,2.349740804,42.37349,21
Belgium,192,0,216,Offshore hard mount,0,2013,Aspiravi,577517688,7.806666667,34.74,24.11,1.113096952,-0.614608407,0.305494479,105.4856,19
Sweden,1109,0,48,Onshore,0,2021,Octopus,65232000,5.803333333,,,2.163197,16.98293,5.937508573,36.83366,21
United Kingdom,4940,1,12.5,Onshore,1,2013,Energiekontor,16987500,7.963333333,,,2.291663408,2.352421284,1.799921494,85.31606,20
United Kingdom,5700,0,10.3,Onshore,0,2013,Greencoat,13997700,7.556666667,,,2.291663408,2.352421284,1.799921494,85.31606,20
Spain,1443,1,41,Onshore,0,2006,Acciona ; Med Wind,55719000,5.606666667,,,3.515373945,6.521553516,4.043435207,39.01906,21
Spain,2397,0,28,Onshore,0,2008,Iberdrola,38052000,5.79,,,4.07565403,6.641723633,0.767165775,39.6088,21
Greece,1193,0,46.8,Onshore,1,?,Terna Energy,63601200,,,,,,,,
Spain,4025,1,17,Onshore,0,1997,Enel,23103000,5.503333333,,,1.971074224,3.443284035,3.587299762,64.2863,19
Spain,1912,0,33.6,Onshore,1,2019,Naturgy,45662400,4.75,,,0.699999988,-1.237797976,1.961178532,97.57882,16
Greece,2264,0,29.9,Onshore,0,2019,Enel,40634100,6.73,,,0.51700002,-0.480481893,2.277180636,185.5363,9
Greece,2617,1,25.5,Onshore,0,2011,Eren Hellas,34654500,4.9,,,3.329869986,8.906470299,-9.876779039,175.2192,2
Germany,3353,1,20,Onshore,0,2017,WindStrom,27180000,6.583333333,,,1.711,1.241764545,2.716024519,63.95238,21
Denmark,4285,0,15,Onshore,0,2020,Noer Wind ; Ny Odgaard Wind,20385000,7.91,,,0.420711974,0.256266517,-1.780105988,42.17138,21
Germany,2392,0,28,Onshore,0,2009,EOS Holdings,38052000,7.013333333,,,0.312738299,0.419552684,-5.545164538,71.71568,21
France,3694,0,18,Onshore,0,2017,Intervent,24462000,5.553333333,,,1.163,1.601827264,2.083614851,98.48331,19
France,4655,1,14,Onshore,0,2009,Energiequelle GmbH,19026000,5.576666667,,,0.087618731,-0.113706842,-2.824551503,84.03127,21
Germany,5252,0,12,Onshore,0,2011,Ostwind,16308000,5.416666667,,,2.075176716,3.075814486,3.757968866,77.84923,21
Netherlands,710,0,63,Onshore,0,2008,Private Owners,85617000,8.6,,,2.486495018,2.108318329,2.116815862,54.3523,21
Italy,1234,0,45,Onshore,0,2022,Edison SpA,61155000,6.25,,,8.20129,50.17213354,4.661762651,138.3491,12
Sweden,360,0,115,Onshore,0,2018,BlackRock,156285000,4.113333333,,,1.95,3.724690449,1.902964588,39.4871,21
France,5345,0,12,Onshore,0,2008,Kallista Energy,16308000,6.803333333,,,2.812865257,4.735337734,0.380171426,69.73569,21
Spain,2352,1,28,Onshore,0,2020,Iberdrola,38052000,5.843333333,,,-0.322671033,-3.54274493,-10.94007066,119.179,16
Poland,1696,0,36,Onshore,0,2022,ERG,48924000,5.915,,,14.3,29.09904934,5.255456974,49.1991,15
France,2641,0,25,Onshore,0,2022,Boralex,33975000,6.285,,,5.222367,23.73546019,2.570840474,111.9513,19
Germany,4625,1,14,Onshore,0,2012,GetProject,19026000,6.366666667,,,2.008486986,2.23366785,0.474291306,79.15729,21
United Kingdom,4168,0,16,Onshore,1,2009,ScottishPower Renewables,21744000,7.253333333,,,1.9721632,2.176790476,-4.62055372,64.91501,21
Greece,4262,0,15,Onshore,1,?,Public Power Corporation of Greece (PPC),20385000,,,,,,,,
Poland,3078,0,22,Onshore,0,2013,Invenergy LLC,29898000,7.296666667,,,0.991986692,1.963978171,0.684240607,57.11583,15
Ukraine,5187,1,12,Onshore,0,2012,PJSC Wind Park Ochakovskiy,16308000,6.106666667,,,0.590463579,9.235818863,0.152314967,37.54154,7
France,1711,0,36,Onshore,0,2019,Renewables Infrastructure Group LTD (TRIG),48924000,6.246666667,,,1.299999952,1.744135022,2.027446476,97.88586,19
Germany,5464,0,12,Onshore,0,2002,EnerVest AG,16308000,6.45,,,1.420809388,0.910149872,-0.228310249,59.26526,21
Spain,386,0,108,Onshore,1,2020,Capital Energy,146772000,3.946666667,,,-0.322671033,-3.54274493,-10.94007066,119.179,16
Italy,4089,0,16,Onshore,0,2018,WKN PNE Group,21744000,6.106666667,,,1.14,2.564749718,0.826646697,134.138,13
France,5966,0,10,Onshore,0,2010,Enel,13590000,6.03,,,1.531118512,3.301385641,2.000324727,86.31331,21
Romania,2542,1,26,Onshore,0,2012,Global Wind Power,35334000,5.843333333,,,3.337636948,6.9,1.903616968,35.37141,12
Poland,3083,0,22,Onshore,0,2012,PGE Energia Odnawialna SA,29898000,6.313333333,,,3.560366631,5.809867859,1.511781676,54.78408,15
Spain,3945,0,17,Onshore,0,2018,ITER,23103000,5.943333333,,,1.68,2.365603924,2.395411204,99.71828,14
Portugal,1552,1,39,Onshore,0,2014,Trustenergy SA,53001000,5.4,,,-0.278158814,2.221875429,0.741391471,132.9407,11
Ukraine,730,1,60,Onshore,0,2023,Elementum Energy LTD,81540000,6.19,,,12.84902228,9.908422232,5.324335374,82.32898,4
Germany,582,0,77,Onshore,0,2005,Allianz SE,104643000,6.433333333,,,1.546913624,2.818756342,0.885697236,66.46009,21
Spain,4653,0,14,Onshore,0,2009,Enel,19026000,6.03,,,-0.28799358,1.29409802,-3.768133072,53.07928,20
Portugal,3432,1,20,Onshore,0,2009,EDP,27180000,4.75,,,-0.83552748,2.059766054,-3.122078123,87.79909,17
France,3293,0,20.5,Onshore,0,2015,Engie,27859500,6.92,,,0.037512854,0.410003603,1.066754735,97.07373,19
France,4490,0,14.1,Onshore,0,2021,Engie,19161900,6.293333333,,,1.642331,10.45525,6.882337866,113.0879,20
United Kingdom,3988,0,17,Onshore,1,2011,Banks Renewables,23103000,7.366666667,,,3.884572744,2.714504004,1.138362347,81.42507,21
Germany,1842,0,34,Onshore,0,2021,ABO Wind,46206000,6.53,,,3.14297,10.7082,3.669999862,67.87883,21
Norway,235,0,180,Onshore,1,2015,RWE,244620000,5.23,,,2.171136618,1.300126076,1.857339726,34.33425,21
France,594,1,75,Onshore,0,2015,KGAL Group,101925000,5.86,,,0.037512854,0.410003603,1.066754735,97.07373,19
France,4520,0,14,Onshore,0,2020,Energieteam,19026000,7.01,,,0.476498853,-0.206244222,-7.44064593,114.853,20
France,4580,1,14,Onshore,0,2015,ABO Wind,19026000,5.19,,,0.037512854,0.410003603,1.066754735,97.07373,19
United Kingdom,4141,1,16,Onshore,1,2011,RWE,21744000,7.44,,,3.884572744,2.714504004,1.138362347,81.42507,21
Ireland,1337,0,43,Onshore,1,2014,ESB Group; Coillte,58437000,7.746666667,,,0.182542145,-0.025438216,9.336033729,101.2761,16
France,1950,0,33,Onshore,0,2012,Engie,44847000,6.783333333,,,1.954202652,3.398922443,0.183835271,91.71756,20
Poland,4795,0,13,Onshore,0,2022,Qair Polska,17667000,6.27,,,14.3,29.09904934,5.255456974,49.1991,15
Czech Republic,1399,0,42,Onshore,0,2007,ecoenerg Windkraft GMBH & CO KG,57078000,5.723333333,,,2.853127003,3.424418926,5.488825961,27.34598,16
France,4562,0,14,Onshore,0,2016,WPD,19026000,6.063333333,,,0.183335871,-0.11499691,0.860031082,98.02478,19
Greece,2177,0,30,Onshore,0,2011,EDF,40770000,4.386666667,,,3.329869986,8.906470299,-9.876779039,175.2192,2
Belgium,2196,1,30,Offshore hard mount,0,2009,C-Power,79488515,7.74,26.09,21.77,-0.053141583,-3.909904718,-1.906440894,100.2168,20
Bulgaria,4156,1,16,Onshore,1,2010,AES Corp,21744000,3.933333333,,,2.443273544,0.482104659,1.555359635,22.1016,13
Croatia,2119,0,30,Onshore,0,2022,Petrol Group,40770000,4.87,,,10.78058068,19.2074959,7.287936432,67.78252,13
Spain,2254,0,30,Onshore,0,2020,Mirova Eurofideme,40770000,6.236666667,,,-0.322671033,-3.54274493,-10.94007066,119.179,16
Germany,3474,0,20,Onshore,0,2006,NOTUS Energy,27180000,6,,,1.577432156,2.939437389,3.855736152,65.75402,21
Finland,1375,1,42,Offshore hard mount,0,2017,Suomen Hyotytuuli Oy,108710952,6.18,4.08,20.08,0.839,1.297056556,3.303370161,66.51211,20
Germany,5432,1,12,Onshore,0,2005,WPD,16308000,6.46,,,1.546913624,2.818756342,0.885697236,66.46009,21
Bulgaria,1311,1,44,Onshore,1,2007,Samaras ; Copelouzos Group,59796000,2.863333333,,,8.416269302,5.966766834,6.654387649,24.19093,14
France,5105,0,12,Onshore,1,2014,Energieteam,16308000,6.73,,,0.507763743,1.757389784,0.997832938,96.3175,21
Germany,5097,1,12,Onshore,0,2015,Landwind Group,16308000,6.833333333,,,0.514420152,-0.414969653,1.652719772,70.55988,21
United Kingdom,4387,0,15,Onshore,0,2010,RWE,20385000,7.003333333,,,2.502840519,-0.361241519,2.233315126,75.86023,21
Spain,2239,0,30,Onshore,0,1995,Acciona,40770000,6.28,,,4.67380476,5.641749859,2.757493952,61.58648,19
Romania,1134,1,48,Onshore,0,2012,Enel,65232000,4.24,,,3.337636948,6.9,1.903616968,35.37141,12
Greece,2911,0,23.1,Onshore,0,2016,Androu Tsirovlidi Wind SA,31392900,2.96,,,-0.825660706,-3.180480957,-0.031795213,183.6976,6
France,1222,0,46,Onshore,0,-,An Avel Braz,62514000,6.033043478,,,,,,,
United Kingdom,3548,0,19.3,Onshore,0,2010,RWE AG,26228700,7.393333333,,,2.502840519,-0.361241519,2.233315126,75.86023,21
Sweden,6139,0,10,Offshore hard mount,0,2001,Vattenfall AB,25848211.67,7.773333333,2.81,10.44,2.405957222,3.299999952,1.360766926,51.741,20
Denmark,3062,0,22,Onshore,0,2017,GK Energi APS,29898000,8.446666667,,,1.058,1.231712341,3.056477244,35.94862,21
Spain,2091,1,31,Onshore,0,2003,Iberdrola,42129000,4.89,,,3.039239645,2.886516333,2.939289664,47.68695,20
France,2724,0,24.6,Onshore,0,2014,Valorem,33431400,5.843333333,,,0.507763743,1.757389784,0.997832938,96.3175,21
Germany,4179,0,16,Onshore,0,2009,CEE,21744000,6.45,,,0.312738299,0.419552684,-5.545164538,71.71568,21
Spain,1643,1,38,Onshore,0,2019,Mirova Eurofideme,51642000,6.24,,,0.699999988,-1.237797976,1.961178532,97.57882,16
France,3499,0,20,Onshore,0,2003,EDF,27180000,6.95,,,2.098475933,2.696377039,0.967827178,65.02864,21
Germany,5639,0,11,Onshore,0,2005,MVV Energie AG,14949000,6.67,,,1.546913624,2.818756342,0.885697236,66.46009,21
Italy,4269,0,15,Onshore,0,2023,IVPC Group,20385000,5.34,,,5.622194422,3.721905022,0.697632994,134.7937,12
Austria,1845,0,34,Onshore,0,2018,EVN,46206000,6.22,,,2,2.279999971,2.484220867,74.08284,20
United Kingdom,2362,0,28,Onshore,1,2015,Community Windpower,38052000,7.626666667,,,0.40160796,1.249046922,2.222888449,87.86669,21
Greece,3170,0,21,Onshore,1,?,Terpsichore Energy PVT CO,28539000,,,,,,,,
Germany,3505,0,20,Onshore,0,2002,Energiequelle GmbH,27180000,6.51,,,1.420809388,0.910149872,-0.228310249,59.26526,21
France,4553,0,14,Onshore,0,2017,VOL-V SAS,19026000,6.1,,,1.163,1.601827264,2.083614851,98.48331,19
France,3699,0,18,Onshore,0,2017,Renewable Energy Systems (RES),24462000,4.01,,,1.163,1.601827264,2.083614851,98.48331,19
Spain,2608,1,26,Onshore,0,1999,Iberdrola,35334000,5.656666667,,,2.310335398,2.129180193,4.408865512,60.85314,20
Germany,5905,1,10,Onshore,0,2013,Windenergie Neuruppin GMBH,13590000,6.566666667,,,1.504725099,1.971489668,0.386224576,76.79466,21
Spain,5490,0,12,Onshore,0,1997,EDP,16308000,5.963333333,,,1.971074224,3.443284035,3.587299762,64.2863,19
Germany,3582,0,19,Onshore,0,2014,Geo MBH,25821000,7.75,,,0.90679872,0.845330298,2.169498929,73.82303,21
Latvia,622,0,72,Onshore,1,2010,Rapsoil SIA,97848000,7.323333333,,,-1.084634066,-2.260056257,-3.661259081,40.06896,14
Spain,1048,0,50,Onshore,0,2004,RWE; Eolia Renovables de Inversiones SCR SA,67950000,5.853333333,,,3.039197922,3.496448517,3.114531452,45.3327,21
Germany,5449,0,12,Onshore,0,2004,E.ON ; other,16308000,7.173333333,,,1.66573,1.529088616,1.162368267,64.33307,21
Spain,3830,0,18,Onshore,0,2004,Iberdrola,24462000,5.5,,,3.039197922,3.496448517,3.114531452,45.3327,21
Spain,3265,0,21,Onshore,0,2005,Enel,28539000,4.613333333,,,3.368458509,5.324462414,3.551225515,42.39519,21
Spain,926,1,50,Onshore,0,2020,Grupo Enhol,67950000,5.91,,,-0.322671033,-3.54274493,-10.94007066,119.179,16
Austria,2441,1,27,Onshore,0,2023,oekostrom,36693000,5.93,,,7.81413417,6.195272942,-0.954962367,77.545,20
Spain,5333,1,12,Onshore,0,2008,Iberdrola,16308000,5.84,,,4.07565403,6.641723633,0.767165775,39.6088,21
France,4977,0,12,Onshore,0,2021,Kallista Energy,16308000,7.373333333,,,1.642331,10.45525,6.882337866,113.0879,20
United Kingdom,5327,0,12,Onshore,0,2008,Wind Prospect Developments LTD,16308000,7.463333333,,,3.481384993,4.696794987,-0.248797298,50.82737,21
Ireland,512,0,88,Onshore,0,2015,Greencoat,119592000,8.206666667,,,-0.289875358,1.602922201,24.61556998,73.99682,14
Portugal,5420,0,12,Onshore,0,2005,Ventient Energy,16308000,6.606666667,,,2.27715683,4.368259907,0.781847758,72.24908,18
United Kingdom,5356,0,12,Onshore,1,2007,E.ON,16308000,7.61,,,2.334154129,3.412236929,2.62488002,43.1739,21
Germany,2658,0,25,Onshore,0,2015,WPD,33975000,6.823333333,,,0.514420152,-0.414969653,1.652719772,70.55988,21
Germany,6094,0,10,Onshore,0,2006,Energiequelle GmbH,13590000,7.223333333,,,1.577432156,2.939437389,3.855736152,65.75402,21
Portugal,3489,1,20,Onshore,0,2004,EDP,27180000,5.36,,,2.365364313,2.995444536,1.78873566,67.0995,19
Norway,485,0,90,Onshore,1,2020,Statkraft AS,122310000,6.86,,,1.286584907,-3.487698987,-1.278171785,46.1091,21
Spain,1709,0,36,Onshore,0,2019,Naturgy,48924000,5.773333333,,,0.699999988,-1.237797976,1.961178532,97.57882,16
Norway,572,0,78,Onshore,1,2014,Zephyr AS,106002000,5.976666667,,,2.041705608,1.291266203,2.048131999,29.66098,21
Norway,379,0,110,Onshore,1,2013,Statkraft AS,149490000,6.833333333,,,2.120480061,5.294428825,1.016190824,31.42718,21
Spain,4407,1,15,Onshore,0,2007,Acciona ; Med Wind,20385000,5.37,,,2.787031889,3.659707785,3.533500122,35.69813,21
United Kingdom,1264,0,45,Onshore,1,2005,E.ON,61155000,7.35,,,2.056553125,3.290127754,2.732660761,41.00035,21
Denmark,5153,0,12,Onshore,0,2013,Krogstrup Enge IV KS; Krogstrup Vindkraft IS,16308000,8.023333333,,,0.789073348,1.976181746,1.39267347,43.91183,21
Germany,6096,0,10,Onshore,0,2006,MBBF Group,13590000,7.11,,,1.577432156,2.939437389,3.855736152,65.75402,21
Spain,3808,0,18,Onshore,0,2007,Naturgy,24462000,4.486666667,,,2.787031889,3.659707785,3.533500122,35.69813,21
Sweden,5990,0,10,Onshore,0,2009,Windcap,13590000,5.343333333,,,-0.49445942,0,-4.255573743,40.9476,21
France,4994,0,12,Onshore,0,2019,Encavis AG,16308000,6.656666667,,,1.299999952,1.744135022,2.027446476,97.88586,19
Norway,557,0,80,Onshore,1,2015,Troms Kraft Produksjon AS,108720000,4.856666667,,,2.171136618,1.300126076,1.857339726,34.33425,21
Spain,1002,0,50,Onshore,0,2005,Enerfin Resources CO,67950000,3.926666667,,,3.368458509,5.324462414,3.551225515,42.39519,21
Germany,3978,1,17,Onshore,1,2013,EnBW,23103000,5.436666667,,,1.504725099,1.971489668,0.386224576,76.79466,21
Greece,2426,0,27.6,Onshore,0,2018,Eren Hellas,37508400,6.066666667,,,0.63,0.067085952,2.064672533,190.6744,8
Greece,4934,1,12.6,Onshore,0,1999,Rokas Renewables,17123400,6.463333333,,,2.636634588,-8.100000381,2.65878589,98.90671,15
Spain,250,0,162,Offshore floating,1,2017,Abei Energy,626049000,6.21,9.51,25.56,1.956,3.930671692,2.896042081,101.1442,14
United Kingdom,3145,1,22,Onshore,0,1996,RWE; Fred Olsen Renewables AB,29898000,7.81,,,2.852855206,4.030018806,2.581993917,44.73848,21
Greece,1319,0,43.4,Onshore,1,?,Windspur Energy SA,58980600,,,,,,,,
Greece,1694,0,36,Onshore,0,2023,Terna Energy,48924000,6.86,,,3.464801285,-11.89491089,2.332123883,168.869,12
Germany,6093,0,10,Onshore,0,2006,Statkraft AS,13590000,6.066666667,,,1.577432156,2.939437389,3.855736152,65.75402,21
Spain,2509,1,26,Onshore,0,2020,EDP,35334000,4.863333333,,,-0.322671033,-3.54274493,-10.94007066,119.179,16
Ukraine,2151,1,30,Onshore,0,2015,PJSC Wind Park Ochakovskiy,40770000,6.15,,,48.56735992,8.111336708,-9.772987211,79.33062,3
France,2140,0,30,Onshore,0,2017,Boralex,40770000,6.293333333,,,1.163,1.601827264,2.083614851,98.48331,19
France,4086,0,16,Onshore,0,2019,Volkswind GmbH,21744000,6.523333333,,,1.299999952,1.744135022,2.027446476,97.88586,19
Poland,1576,0,38,Onshore,0,2023,European Energy A/S,51642000,7.06,,,11.5289128,11.65365251,0.138832755,49.59429,15
Ireland,5001,1,12,Onshore,0,2018,Greencoat,16308000,7.58,,,0.49,5.104811668,7.544341908,61.4716,16
France,5504,0,12,Onshore,0,-,Ventient Energy,16308000,6.24,,,,,,,
Poland,556,1,80,Onshore,0,2020,Israel Infrastructure Fund,108720000,7.723333333,,,3.374469726,7.48961993,-2.035568824,57.19533,15
Bulgaria,1449,0,40,Onshore,1,-,Efacec Group ; Energoconsult LTD,54360000,5.73173913,,,,,,,
Italy,1896,0,34,Onshore,0,2020,EDP,46206000,4.92,,,-0.137707574,-8.208165169,-8.86822121,154.288,13
Montenegro,1203,0,46,Onshore,0,2019,Malta Montenegro Wind Power JV LTD,62514000,4.4,,,0.365999997,,4.062944992,78.79311,8
Germany,2301,0,29,Onshore,0,2014,Eno Energy,39411000,6.14,,,0.90679872,0.845330298,2.169498929,73.82303,21
Austria,4311,0,15,Onshore,0,2016,Energiepark Bruck/Leitha GMBH,20385000,5.766666667,,,0.89159596,0.829999983,2.117219671,82.84043,20
Greece,3634,0,18,Onshore,1,?,Ensol Amedaiou SA,24462000,,,,,,,,
Spain,1571,0,39,Onshore,0,2001,Iberdrola,53001000,5.06,,,3.589828014,3.382987976,3.919088791,54.05223,21
