Country/Area,Entry ID,Project Name,Phase Name,Only Phase,Capacity (MW),Installation Type,Status,Cancelled,Start year,Owner,Latitude,Longitude,Region,Wiki URL,Annual Wind Speed,Ocean Depth For Offshore,Inflation in Project Country
Spain,1889,Alhambra wind farm,--,1,34,Onshore,operating,0,2004,Acciona Energ�a SAU,38.8679,-3.1258,Europe,https://www.gem.wiki/Alhambra_wind_farm,,,
Spain,1890,Outes wind farm,--,1,34,Onshore,operating,0,2004,Eyra; ACS Group,42.8301,-8.9501,Europe,https://www.gem.wiki/Outes_wind_farm,,,
Spain,1891,Piedras Del Alto wind farm,--,1,34,Onshore,operating,0,2004,Acciona Energ�a SAU,41.4501,-3.7501,Europe,https://www.gem.wiki/Piedras_Del_Alto_wind_farm,,,
Spain,1892,Pena Forcada wind farm,--,1,34,Onshore,operating,0,2003,Enel Green Power Espa�a SL,43.1501,-9.2010,Europe,https://www.gem.wiki/Pena_Forcada_wind_farm,,,
Spain,1893,Valmediano wind farm,--,1,34,Onshore,operating,0,2003,Iberdrola Renovables Energia SA,41.8347,-5.8888,Europe,https://www.gem.wiki/Valmediano_wind_farm,,,
Germany,1894,Bliesdorf wind farm,--,1,34,Onshore,operating,0,2001,Neue GHF Bliesdorf-Ketzin GMBH,52.7000,14.1800,Europe,https://www.gem.wiki/Bliesdorf_wind_farm,,,
Germany,1895,Gehlenberg wind farm,--,1,34,Onshore,operating,0,2000,Energiequelle GmbH,52.9943,7.7586,Europe,https://www.gem.wiki/Gehlenberg_wind_farm,,,
Italy,1896,Conza wind farm,--,1,34,Onshore,operating,0,2020,EDP Renewables,40.8745,15.3112,Europe,https://www.gem.wiki/Conza_wind_farm,,,
Italy,1897,Wind Power Sud wind farm,--,1,34,Onshore,operating,0,-,Fri-El SPA,37.3123,13.5746,Europe,https://www.gem.wiki/Wind_Power_Sud_wind_farm,,,
Norway,1898,Haram wind farm,--,1,34,Onshore,operating,0,2021,Taaleri Energia Funds Management OY,62.6629,6.1968,Europe,https://www.gem.wiki/Haram_wind_farm,,,
Italy,1899,Lacedonia (ERG) wind farm,1,0,34,Onshore,operating,0,2000,ERG SpA,41.0492,15.4009,Europe,https://www.gem.wiki/Lacedonia_(ERG)_wind_farm,,,
Finland,1900,Repossar wind farm,--,1,33.7,Onshore,operating,0,-,Suomen Hy�tytuuli Oy,61.5584,21.6119,Europe,https://www.gem.wiki/Repossar_wind_farm,,,
Greece,1901,Aetopetra Mavropouli wind farm,--,1,33.6,Onshore,cancelled,1,?,GRSRE Wind Project Single Member SA,41.1861,25.4947,Europe,https://www.gem.wiki/Aetopetra_Mavropouli_wind_farm,,,
Greece,1902,Ayia Marina wind farm,--,1,33.6,Onshore,cancelled,1,?,ES Evrou,40.9446,25.9360,Europe,https://www.gem.wiki/Ayia_Marina_wind_farm,,,
Greece,1903,Korephes (Terna) wind farm,--,1,33.6,Onshore,cancelled,1,?,Terna Energy,39.3222,21.5679,Europe,https://www.gem.wiki/Korephes_(Terna)_wind_farm,,,
Greece,1904,Rache (W.E. Graigos New Energies) wind farm,--,1,33.6,Onshore,cancelled,1,?,W E Graigos New Energies SA,38.3120,22.7344,Europe,https://www.gem.wiki/Rache_(W.E._Graigos_New_Energies)_wind_farm,,,
Greece,1905,Yaidourorrache Paliouryies wind farm,--,1,33.6,Onshore,cancelled,1,?,GRSRE Wind Project Single Member SA,41.1731,25.5051,Europe,https://www.gem.wiki/Yaidourorrache_Paliouryies_wind_farm,,,
United Kingdom,1906,Cairnmore Hill wind farm,--,1,33.6,Onshore,cancelled,1,2022,Renewable Energy Systems (RES),58.5963,-3.6208,Europe,https://www.gem.wiki/Cairnmore_Hill_wind_farm,,,
Greece,1907,Mikronoros wind farm,--,1,33.6,Onshore,operating,0,2022,Iberdrola SA,41.3312,25.8456,Europe,https://www.gem.wiki/Mikronoros_wind_farm,,,
France,1908,Egrouettes wind farm,--,1,33.6,Onshore,operating,0,2022,VOL-V SAS,48.2781,1.6168,Europe,https://www.gem.wiki/Egrouettes_wind_farm,,,
France,1909,Les Egrouettes wind farm,1,0,33.6,Onshore,operating,0,2021,Compagnie Nationale du Rh�ne (CNR),48.2848,1.6481,Europe,https://www.gem.wiki/Les_Egrouettes_wind_farm,,,
France,1910,e Barville-en-G�tinais et Egry wind farm,--,1,33.6,Onshore,cancelled,1,2020,ABO Wind AG,48.1063,2.3853,Europe,https://www.gem.wiki/e_Barville-en-G�tinais_et_Egry_wind_farm,,,
Spain,1911,Ser� wind farm,--,1,33.6,Onshore,cancelled - inferred 4 y,1,2020,Naturgy,41.5036,1.3431,Europe,https://www.gem.wiki/Ser�_wind_farm,,,
Spain,1912,Trilla wind farm (Spain),--,1,33.6,Onshore,cancelled - inferred 4 y,1,2019,Naturgy,41.7418,1.2925,Europe,https://www.gem.wiki/Trilla_wind_farm_(Spain),,,
Spain,1913,Conca de Barber� wind farm,4,0,33.6,Onshore,cancelled - inferred 4 y,1,2011,Desarrollos E�licos Cuenca de Barber� SL,41.4454,1.2469,Europe,https://www.gem.wiki/Conca_de_Barber�_wind_farm,,,
Greece,1914,Goritsa wind farm,--,1,33.3,Onshore,operating,0,2017,Eren Hellas,38.3020,22.9568,Europe,https://www.gem.wiki/Goritsa_wind_farm,,,
United Kingdom,1915,Cruach Mhor wind farm,--,1,33.3,Onshore,operating,0,2004,ScottishPower Renewables,56.0390,-5.1559,Europe,https://www.gem.wiki/Cruach_Mhor_wind_farm,,,
Greece,1916,Asprochorto wind farm,--,1,33,Onshore,cancelled,1,?,Astakos,38.6284,21.1028,Europe,https://www.gem.wiki/Asprochorto_wind_farm,,,
Greece,1917,Vrachara wind farm,--,1,33,Onshore,cancelled,1,?,Terna Energy,41.2592,23.8759,Europe,https://www.gem.wiki/Vrachara_wind_farm,,,
France,1918,Les Beaux Monts wind farm,--,1,33,Onshore,operating,0,2023,Neoen,47.9496,3.3878,Europe,https://www.gem.wiki/Les_Beaux_Monts_wind_farm,,,
Poland,1919,Zukowice wind farm,--,1,33,Onshore,operating,0,2021,RWE AG,51.6706,15.9722,Europe,https://www.gem.wiki/Zukowice_wind_farm,,,
Poland,1920,D_bowa __ka wind farm,--,1,33,Onshore,operating,0,2020,Pacifico Renewables Yield AG; Optima Wind,53.2517,19.0965,Europe,https://www.gem.wiki/D_bowa___ka_wind_farm,,,
Germany,1921,Schipkau wind farm,--,1,33,Onshore,operating,0,2020,enercity AG,51.5145,13.8687,Europe,https://www.gem.wiki/Schipkau_wind_farm,,,
Sweden,1922,Orrberget wind farm,--,1,33,Onshore,operating,0,2019,Columbia Threadneedle,60.3681,15.0909,Europe,https://www.gem.wiki/Orrberget_wind_farm,,,
Spain,1923,Torozos wind farm,2,0,33,Onshore,operating,0,2019,Naturgy,41.6201,-5.0401,Europe,https://www.gem.wiki/Torozos_wind_farm,,,
Ireland,1924,Castlepook wind farm,--,1,33,Onshore,operating,0,2018,ESB Group; Coillte,52.2905,-8.5612,Europe,https://www.gem.wiki/Castlepook_wind_farm,,,
Germany,1925,Emlichheim-Nord wind farm,--,1,33,Onshore,operating,0,2018,BVT Group,52.6439,6.8031,Europe,https://www.gem.wiki/Emlichheim-Nord_wind_farm,,,
Romania,1926,Alpha Wind Nord wind farm,2,0,33,Onshore,operating,0,2017,SC Verbund Wind Power Romania SRL,45.9852,24.6859,Europe,https://www.gem.wiki/Alpha_Wind_Nord_wind_farm,,,
Finland,1927,Ajos Retrofit wind farm,RP2,0,33,Onshore,operating,0,2017,IKEA,65.6680,24.5490,Europe,https://www.gem.wiki/Ajos_Retrofit_wind_farm,,,
Germany,1928,Obere Kyll wind farm,--,1,33,Onshore,operating,0,2017,MVV Energie AG,50.3240,6.4794,Europe,https://www.gem.wiki/Obere_Kyll_wind_farm,,,
Norway,1929,Laukvikdalsfjellet wind farm,--,1,33,Onshore,cancelled,1,2016,Statkraft AS,70.8204,29.1362,Europe,https://www.gem.wiki/Laukvikdalsfjellet_wind_farm,,,
Finland,1930,M�kikankaan wind farm,--,1,33,Onshore,operating,0,2016,WPD Finland,64.3630,24.0586,Europe,https://www.gem.wiki/M�kikankaan_wind_farm,,,
Sweden,1931,Maevaara wind farm,2,0,33,Onshore,operating,0,2016,Allianz SE,66.9407,23.3065,Europe,https://www.gem.wiki/Maevaara_wind_farm,,,
Austria,1932,Hohenruppersdorf wind farm,2,0,33,Onshore,operating,0,2016,Smart Energy Betriebs GMBH,48.4492,16.6770,Europe,https://www.gem.wiki/Hohenruppersdorf_wind_farm,,,
Germany,1933,Trianel Uckley Nord wind farm,--,1,33,Onshore,operating,0,2016,ABO Wind AG,52.3454,13.7327,Europe,https://www.gem.wiki/Trianel_Uckley_Nord_wind_farm,,,
Germany,1934,Teichhau wind farm,1,0,33,Onshore,cancelled,1,2015,EnBW,48.6072,10.0942,Europe,https://www.gem.wiki/Teichhau_wind_farm,,,
Germany,1935,Feldheim wind farm,5,0,33,Onshore,operating,0,2015,Energiequelle GmbH,52.0199,12.8628,Europe,https://www.gem.wiki/Feldheim_wind_farm,,,
Finland,1936,Kopsa wind farm,2,0,33,Onshore,operating,0,2014,Puhuri Oy,64.5341,24.7028,Europe,https://www.gem.wiki/Kopsa_wind_farm,,,
Sweden,1937,Skaver�d-Gurser�d wind farm,--,1,33,Onshore,operating,0,2014,Rabbalshede Kraft AB,58.7619,11.4136,Europe,https://www.gem.wiki/Skaver�d-Gurser�d_wind_farm,,,
Greece,1938,Gouri Meles Kiapha Verme wind farm,1,0,33,Onshore,operating,0,2014,Terna Energy,38.1992,23.3747,Europe,https://www.gem.wiki/Gouri_Meles_Kiapha_Verme_wind_farm,,,
Greece,1939,Sterniza wind farm,--,1,33,Onshore,operating,0,2014,Public Power Corporation of Greece (PPC),38.1906,23.2196,Europe,https://www.gem.wiki/Sterniza_wind_farm,,,
Germany,1940,Barkow wind farm,1,0,33,Onshore,operating,0,2014,UKA Group,53.4526,12.1708,Europe,https://www.gem.wiki/Barkow_wind_farm,,,
Germany,1941,Uthlede S�d wind farm,--,1,33,Onshore,operating,0,2014,Energiekontor AG,53.3114,8.6076,Europe,https://www.gem.wiki/Uthlede_S�d_wind_farm,,,
Norway,1942,Kvalhovudet wind farm,--,1,33,Onshore,cancelled,1,2013,Nord-Norsk Vindkraft AS,66.4733,13.3044,Europe,https://www.gem.wiki/Kvalhovudet_wind_farm,,,
Poland,1943,Gostyn wind farm,--,1,33,Onshore,operating,0,2013,Acciona SA,51.8786,17.0121,Europe,https://www.gem.wiki/Gostyn_wind_farm,,,
Poland,1944,Krobia I wind farm,--,1,33,Onshore,operating,0,2013,Acciona SA,51.7158,16.9196,Europe,https://www.gem.wiki/Krobia_I_wind_farm,,,
United Kingdom,1945,Sixpenny Wood wind farm,--,1,33,Onshore,operating,0,2013,Greencoat UK Wind,53.7380,-0.8114,Europe,https://www.gem.wiki/Sixpenny_Wood_wind_farm,,,
Austria,1946,Andau wind farm,1,0,33,Onshore,operating,0,2013,Energie Burgenland,47.8238,17.0494,Europe,https://www.gem.wiki/Andau_wind_farm,,,
Austria,1947,Halbturn Puszta wind farm,--,1,33,Onshore,operating,0,2013,P�SP�K Group,47.8484,17.0157,Europe,https://www.gem.wiki/Halbturn_Puszta_wind_farm,,,
Germany,1948,Suckow wind farm,--,1,33,Onshore,operating,0,2013,S�dWestStrom Windpark Suckow GMBH & CO KG,53.3297,11.9897,Europe,https://www.gem.wiki/Suckow_wind_farm,,,
Romania,1949,Sarichioi wind farm,1,0,33,Onshore,operating,0,2012,EDP Renewables,45.0073,28.8445,Europe,https://www.gem.wiki/Sarichioi_wind_farm,,,
France,1950,Landes De Couesm� wind farm,--,1,33,Onshore,operating,0,2012,Engie (formerly GDF Suez),47.7743,-2.2202,Europe,https://www.gem.wiki/Landes_De_Couesm�_wind_farm,,,
Germany,1951,Borne (MDP) wind farm,RP1,0,33,Onshore,operating,0,2012,MDP,51.9621,11.6061,Europe,https://www.gem.wiki/Borne_(MDP)_wind_farm,,,
Ireland,1952,Inchincoosh wind farm,--,1,33,Onshore,operating,0,2009,�rsted A/S,51.9339,-9.3495,Europe,https://www.gem.wiki/Inchincoosh_wind_farm,,,
Germany,1953,Gr�nberg wind farm,--,1,33,Onshore,operating,0,2009,Enertrag LTD,53.3606,14.0938,Europe,https://www.gem.wiki/Gr�nberg_wind_farm,,,
Italy,1954,Agrigento wind farm,--,1,33,Onshore,operating,0,2007,Alerion Clean Power,37.3123,13.5746,Europe,https://www.gem.wiki/Agrigento_wind_farm,,,
Spain,1955,Valsagueiro wind farm,--,1,33,Onshore,operating,0,2007,EDP Renovables Espa�a,43.0101,-9.1201,Europe,https://www.gem.wiki/Valsagueiro_wind_farm,,,
Portugal,1956,Candeeiros wind farm,2,0,33,Onshore,operating,0,2006,Ventient Energy,39.3901,-8.9457,Europe,https://www.gem.wiki/Candeeiros_wind_farm,,,
Portugal,1957,Pampilhosa wind farm,1,0,33,Onshore,operating,0,2006,Ventient Energy,40.1143,-7.9465,Europe,https://www.gem.wiki/Pampilhosa_wind_farm,,,
Spain,1958,Gamoide wind farm,--,1,33,Onshore,operating,0,2006,Acciona Energ�a SAU,43.5812,-7.4658,Europe,https://www.gem.wiki/Gamoide_wind_farm,,,
Spain,1959,La Pe�uca wind farm,--,1,33,Onshore,operating,0,2005,Energaas Renovables del Bierzo (ERBI),41.1748,-6.5194,Europe,https://www.gem.wiki/La_Pe�uca_wind_farm,,,
Spain,1960,Las Llanas De Codes wind farm,2a,0,33,Onshore,operating,0,2005,Acciona Energ�a SAU,42.5901,-2.3401,Europe,https://www.gem.wiki/Las_Llanas_De_Codes_wind_farm,,,
Italy,1961,Tula wind farm,1,0,33,Onshore,operating,0,2003,Enel Green Power SpA,40.7786,8.9731,Europe,https://www.gem.wiki/Tula_wind_farm,,,
Italy,1962,Alberona (IVPC) wind farm,--,1,33,Onshore,operating,0,1999,IVPC Group,41.3922,15.1168,Europe,https://www.gem.wiki/Alberona_(IVPC)_wind_farm,,,
Spain,1963,Izco wind farm,--,1,33,Onshore,operating,0,1998,Acciona Energ�a SAU,42.6417,-1.4197,Europe,https://www.gem.wiki/Izco_wind_farm,,,
France,1964,Plaine De Courance wind farm,--,1,33,Onshore,operating,0,2022,ENGIE SA,46.1736,-0.4869,Europe,https://www.gem.wiki/Plaine_De_Courance_wind_farm,,,
France,1965,Plateau-De-Gres wind farm,--,1,33,Onshore,operating,0,-,La Compagnie du Vent,43.8053,3.1928,Europe,https://www.gem.wiki/Plateau-De-Gres_wind_farm,,,
Spain,1966,Las Majas wind farm,2,0,33,Onshore,operating,0,2019,Mirova Eurofideme,41.2910,-0.9750,Europe,https://www.gem.wiki/Las_Majas_wind_farm,,,
Spain,1967,Las Majas wind farm,3,0,33,Onshore,operating,0,2019,Mirova Eurofideme,41.2870,-0.9230,Europe,https://www.gem.wiki/Las_Majas_wind_farm,,,
Greece,1968,Taratsa wind farm,--,1,32.9,Onshore,operating,0,2021,Provata Traianoupoleos Wind LLC,38.2337,23.0301,Europe,https://www.gem.wiki/Taratsa_wind_farm,,,
United Kingdom,1969,Mynydd Y Gwair wind farm,--,1,32.8,Onshore,operating,0,2019,RWE AG,51.7492,-3.9381,Europe,https://www.gem.wiki/Mynydd_Y_Gwair_wind_farm,,,
United Kingdom,1970,Goole Fields wind farm,1,0,32.8,Onshore,operating,0,2014,RWE AG,53.6659,-0.8893,Europe,https://www.gem.wiki/Goole_Fields_wind_farm,,,
Greece,1971,Tsouka Skoura wind farm,--,1,32.4,Onshore,operating,0,2023,Terna Energy,38.0693,24.5711,Europe,https://www.gem.wiki/Tsouka_Skoura_wind_farm,,,
United Kingdom,1972,Sanquhar Community wind farm,1,0,32.4,Onshore,operating,0,2018,Community Windpower,55.3442,-4.0466,Europe,https://www.gem.wiki/Sanquhar_Community_wind_farm,,,
France,1973,Mont Benhaut wind farm,--,1,32.4,Onshore,operating,0,2022,Vent du Nord,49.7589,3.5869,Europe,https://www.gem.wiki/Mont_Benhaut_wind_farm,,,
France,1974,Melagues le Ferrio wind farm,--,1,32.2,Onshore,operating,0,2022,ENGIE SA,43.7221,2.9474,Europe,https://www.gem.wiki/Melagues_le_Ferrio_wind_farm,,,
United Kingdom,1975,Calliachar wind farm,--,1,32.2,Onshore,operating,0,2013,Scottish and Southern Energy (SSE),56.6277,-3.8761,Europe,https://www.gem.wiki/Calliachar_wind_farm,,,
United Kingdom,1976,Crighshane wind farm,1,0,32.2,Onshore,operating,0,2012,Greencoat UK Wind,54.6399,-7.7526,Europe,https://www.gem.wiki/Crighshane_wind_farm,,,
Greece,1977,Kavki Myte wind farm,--,1,32,Onshore,cancelled,1,?,Anemodrase Single Member SA,39.0514,21.6430,Europe,https://www.gem.wiki/Kavki_Myte_wind_farm,,,
Greece,1978,Kazani (Volterra) wind farm,--,1,32,Onshore,cancelled,1,?,Volterra SA,40.5755,21.2462,Europe,https://www.gem.wiki/Kazani_(Volterra)_wind_farm,,,
Greece,1979,Koutsourakiia Koleos wind farm,--,1,32,Onshore,cancelled,1,?,Wind of Ipirus Energy SA,40.0160,21.0926,Europe,https://www.gem.wiki/Koutsourakiia_Koleos_wind_farm,,,
Greece,1980,Palati wind farm,--,1,32,Onshore,cancelled,1,?,Fritz Dotterweich LLC,40.6093,21.9626,Europe,https://www.gem.wiki/Palati_wind_farm,,,
Romania,1981,Eolica Kogalniceanu wind farm,1,0,32,Onshore,cancelled - inferred 4 y,1,-,Eolica Kog_lniceanu,45.9852,24.6859,Europe,https://www.gem.wiki/Stanata_wind_farm,,,
Netherlands,1982,Ansjovisstroom wind farm,RP1,0,32,Onshore,operating,0,2024,Windkoepel Groen,52.4700,5.6994,Europe,https://www.gem.wiki/Ansjovisstroom_wind_farm,,,
Sweden,1983,Kafj�rden wind farm,--,1,32,Onshore,operating,0,2023,Cloudberry Clean Energy ASA,59.4183,16.6356,Europe,https://www.gem.wiki/Kafj�rden_wind_farm,,,
Italy,1984,Castelmauro wind farm,--,1,32,Onshore,operating,0,2022,Enel Green Power SpA,41.7961,14.6434,Europe,https://www.gem.wiki/Castelmauro_wind_farm,,,
Germany,1985,Gro� Oesingen wind farm,--,1,32,Onshore,operating,0,2022,PNE AG,52.6568,10.4059,Europe,https://www.gem.wiki/Gro�_Oesingen_wind_farm,,,
Portugal,1986,Tocha wind farm,2,0,32,Onshore,operating,0,2021,EDP Renov�veis,40.3655,-8.6583,Europe,https://www.gem.wiki/Tocha_wind_farm,,,
Spain,1987,Herrera La Huesa wind farm,--,1,32,Onshore,operating,0,2021,Iberdrola Renovables Energia SA,42.3616,-3.9304,Europe,https://www.gem.wiki/Herrera_La_Huesa_wind_farm,,,
France,1988,Le Haut Plateau wind farm,--,1,32,Onshore,operating,0,2021,Elicio,49.8715,2.8923,Europe,https://www.gem.wiki/Le_Haut_Plateau_wind_farm,,,
Netherlands,1989,Oostflakkee wind farm,--,1,32,Onshore,operating,0,2021,Kallista Energy Investment,51.7513,4.1358,Europe,https://www.gem.wiki/Oostflakkee_wind_farm,,,
Russia,1990,Adygea wind farm,1,0,32,Onshore,operating,0,2020,Rosatom State Nuclear Energy CORP (ROSATOM),44.9740,40.0580,Europe,https://www.gem.wiki/Adygea_wind_farm,,,
Ukraine,1991,Ovid wind farm,1,0,32,Onshore,operating,0,2019,G�ri_ Holding AS,46.2278,30.4907,Europe,https://www.gem.wiki/Ovid_wind_farm,,,
Spain,1992,El �guila wind farm,2 + 3 unificado,0,32,Onshore,operating,0,2019,Grupo Jorge,41.7290,-1.2520,Europe,https://www.gem.wiki/El_�guila_wind_farm,,,
Denmark,1993,N�jsomheds Odde wind farm,RP1,0,32,Onshore,operating,0,2018,European Energy A/S ; SUSI Partners AG,54.9409,11.0858,Europe,https://www.gem.wiki/N�jsomheds_Odde_wind_farm,,,
Denmark,1994,Svindb�k wind farm,--,1,32,Onshore,operating,0,2018,European Energy A/S,55.9136,9.1957,Europe,https://www.gem.wiki/Svindb�k_wind_farm,,,
Kosovo,1995,Kitka wind farm,1,0,32,Onshore,operating,0,2018,Air Energy,42.6664,21.6787,Europe,https://www.gem.wiki/Kitka_wind_farm,,,
France,1996,Eplessier wind farm,--,1,32,Onshore,operating,0,2016,TTR Energy,49.7896,1.9048,Europe,https://www.gem.wiki/Eplessier_wind_farm,,,
France,1997,Auxerrois wind farm,--,1,32,Onshore,operating,0,2015,ENGIE SA,47.7735,3.7075,Europe,https://www.gem.wiki/Auxerrois_wind_farm,,,
Germany,1998,Mucke Feldatal wind farm,2,0,32,Onshore,operating,0,2015,Regenerative & Rationelle Energietechnik GmbH,50.6239,9.1405,Europe,https://www.gem.wiki/Mucke_Feldatal_wind_farm,,,
United Kingdom,1999,Charity Farm wind farm,--,1,32,Onshore,cancelled,1,2014,RWE Renewables,53.6765,-0.8599,Europe,https://www.gem.wiki/Charity_Farm_wind_farm,,,
United Kingdom,2000,Rogart wind farm,--,1,32,Onshore,cancelled - inferred 4 y,1,2014,Wind Prospect Developments LTD,58.0401,-4.2101,Europe,https://www.gem.wiki/Rogart_wind_farm,,,
Romania,2001,Babadag wind farm,3,0,32,Onshore,operating,0,2014,Eviva Nalbant,44.8913,28.7172,Europe,https://www.gem.wiki/Babadag_wind_farm,,,
Poland,2002,Boryszewo wind farm,--,1,32,Onshore,operating,0,2013,Invenergy LLC,54.3142,16.3815,Europe,https://www.gem.wiki/Boryszewo_wind_farm,,,
Italy,2003,Biccari (Forotre) wind farm,2,0,32,Onshore,operating,0,2013,Fortore Energia SPA,41.3976,15.2499,Europe,https://www.gem.wiki/Biccari_(Forotre)_wind_farm,,,
Portugal,2004,Beiras wind farm,RP-Balocas,0,32,Onshore,operating,0,2013,EDP Renov�veis,40.2408,-7.7567,Europe,https://www.gem.wiki/Beiras_wind_farm,,,
Portugal,2005,Malhanito wind farm,RP-Cerro do Gato,0,32,Onshore,operating,0,2013,Ventient Energy,37.3238,-7.7921,Europe,https://www.gem.wiki/Malhanito_wind_farm,,,
France,2006,La Vall�e wind farm,--,1,32,Onshore,operating,0,2013,Boralex,47.0080,1.7740,Europe,https://www.gem.wiki/La_Vall�e_wind_farm,,,
Germany,2007,Vogelsberg wind farm,3,0,32,Onshore,operating,0,2012,WPD AG,50.3800,9.0797,Europe,https://www.gem.wiki/Vogelsberg_wind_farm,,,
Ukraine,2008,Novoazovsk wind farm,2,0,32,Onshore,mothballed,1,2011,Wind Parks of Ukraine LLC,47.1419,37.9161,Europe,https://www.gem.wiki/Novoazovsk_wind_farm,,,
Italy,2009,Alcamo wind farm,1,0,32,Onshore,operating,0,2011,RWE Renewables,38.0059,13.0557,Europe,https://www.gem.wiki/Alcamo_wind_farm,,,
Portugal,2010,Raia wind farm,S�o Corn�lio,0,32,Onshore,operating,0,2011,Finerge SA,40.4192,-7.2627,Europe,https://www.gem.wiki/Raia_wind_farm,,,
France,2011,Monts De Lacaune wind farm,--,1,32,Onshore,operating,0,2011,Groupe VALECO,43.6631,2.6840,Europe,https://www.gem.wiki/Monts_De_Lacaune_wind_farm,,,
Spain,2012,Los Corrales wind farm,--,1,32,Onshore,cancelled - inferred 4 y,1,2010,Iberdrola Renovables Energia SA,40.6188,-0.0998,Europe,https://www.gem.wiki/Los_Corrales_wind_farm,,,
Spain,2013,Pico Cuiredo wind farm,--,1,32,Onshore,cancelled - inferred 4 y,1,2010,Iberdrola Renovables Energia SA,43.4102,-6.8352,Europe,https://www.gem.wiki/Pico_Cuiredo_wind_farm,,,
Poland,2014,Piecki wind farm,--,1,32,Onshore,operating,0,2010,HSE Regenerativ GMBH ; RWE AG,54.1770,22.7862,Europe,https://www.gem.wiki/Piecki_wind_farm,,,
France,2015,Machault wind farm,Leffincourt,0,32,Onshore,operating,0,2010,ENGIE SA,49.3731,4.5525,Europe,https://www.gem.wiki/Machault_wind_farm,,,
Poland,2016,Inowroc_aw wind farm,--,1,32,Onshore,operating,0,2009,TAURON Polska Energia SA,52.7692,18.2206,Europe,https://www.gem.wiki/Inowroc_aw_wind_farm,,,
Italy,2017,Minervino wind farm,--,1,32,Onshore,operating,0,2009,EDF Renewables,40.0885,18.4263,Europe,https://www.gem.wiki/Minervino_wind_farm,,,
Spain,2018,Cerro De La Nevera wind farm,--,1,32,Onshore,operating,0,2009,Acciona Energ�a SAU ; Med Wind,39.8833,-0.9501,Europe,https://www.gem.wiki/Cerro_De_La_Nevera_wind_farm,,,
Spain,2019,Radona wind farm,2,0,32,Onshore,operating,0,2009,Iberdrola Renovables Energia SA,41.2956,-2.4713,Europe,https://www.gem.wiki/Radona_wind_farm,,,
Germany,2020,Altes Lager wind farm,--,1,32,Onshore,operating,0,2009,Enercon,52.0342,12.9708,Europe,https://www.gem.wiki/Altes_Lager_wind_farm,,,
Germany,2021,Bartelsdorf wind farm,1,0,32,Onshore,operating,0,2009,RWE AG,53.1235,9.5128,Europe,https://www.gem.wiki/Bartelsdorf_wind_farm,,,
Poland,2022,_niatowo wind farm,--,1,32,Onshore,operating,0,2008,TAURON Polska Energia SA,53.8769,14.8647,Europe,https://www.gem.wiki/_niatowo_wind_farm,,,
Ireland,2023,Mountain Lodge wind farm,--,1,32,Onshore,operating,0,2008,Galetech Energy Services; ESB Group,54.0018,-7.1239,Europe,https://www.gem.wiki/Mountain_Lodge_wind_farm,,,
Italy,2024,Scampitella wind farm,--,1,32,Onshore,operating,0,2008,Enel Green Power SpA,41.0822,15.3354,Europe,https://www.gem.wiki/Scampitella_wind_farm,,,
Portugal,2025,Ventominho wind farm,Santo Ant�nio,0,32,Onshore,operating,0,2008,EDF Renewables,42.0084,-8.2994,Europe,https://www.gem.wiki/Ventominho_wind_farm,,,
Spain,2026,Alto Palancia wind farm,3,0,32,Onshore,operating,0,2008,Acciona Energ�a SAU,39.9894,-0.6804,Europe,https://www.gem.wiki/Alto_Palancia_wind_farm,,,
Spain,2027,Cerro Becerril Y Lucillo wind farm,--,1,32,Onshore,operating,0,2008,EDP Renovables Espa�a,42.4383,-6.4436,Europe,https://www.gem.wiki/Cerro_Becerril_Y_Lucillo_wind_farm,,,
Spain,2028,Do�a Benita Cu�llar wind farm,--,1,32,Onshore,operating,0,2008,Iberdrola Renovables Energia SA,36.5892,-5.9911,Europe,https://www.gem.wiki/Do�a_Benita_Cu�llar_wind_farm,,,
Spain,2029,EEE repotenciado wind farm,2-3,0,32,Onshore,operating,0,2008,Enel Green Power Espa�a SL,36.0128,-5.6049,Europe,https://www.gem.wiki/EEE_repotenciado_wind_farm,,,
Spain,2030,La Calzada wind farm,--,1,32,Onshore,operating,0,2008,Eolia Renovables SA (EOLIASUR),42.5978,-3.7502,Europe,https://www.gem.wiki/La_Calzada_wind_farm,,,
Germany,2031,Mahlwinkel-Nord wind farm,--,1,32,Onshore,operating,0,2008,enercity AG,51.6544,12.2446,Europe,https://www.gem.wiki/Mahlwinkel-Nord_wind_farm,,,
Bulgaria,2032,Stanata wind farm,--,1,32,Onshore,cancelled - inferred 4 y,1,2007,Wind Park Stanata,43.4403,27.9630,Europe,https://www.gem.wiki/Stanata_wind_farm,,,
Ireland,2033,Glanlee wind farm,--,1,32,Onshore,operating,0,2007,Enerco Energy,51.9285,-9.3209,Europe,https://www.gem.wiki/Glanlee_wind_farm,,,
Italy,2034,Marco A. Severino wind farm,1,0,32,Onshore,operating,0,2007,RWE Renewables,39.6466,16.3394,Europe,https://www.gem.wiki/Marco_A._Severino_wind_farm,,,
Portugal,2035,Alto Do Mon��o wind farm,--,1,32,Onshore,operating,0,2007,Iberdrola Renovables Energia SA,40.5033,-8.2657,Europe,https://www.gem.wiki/Alto_Do_Mon��o_wind_farm,,,
