Country,Entry ID,Mutiple Phase,Capacity (MW),Installation Type,Cancelled,Start year,Owner,Latitude,Longitude,Estimated Project Cost (GBP),Annual Wind Speed (m/s),Distance to Shore For Offshore (km),Ocean Depth For Offshore (m),Inflation in Project Country (HCPI),Energy Inflation in Project Country (EPI),Country GDP Growth Rate,Government Debt as Percentage of GDP,Country Credit Rating
Ukraine,427,1,100,Onshore,1,2010,The Concorde Group LLC,44.4366,34.1301,135900000,5.763333333,N/A,N/A,9.329396248,8.850614548,4.092004367,40.62584,7
North Macedonia,428,0,100,Onshore,1,2010,Korea South-East Power Co Ltd; European Bank for Reconstruction and Development (EBRD); Samsung Heavy Industries CO LTD (SHI); Macedonian government,41.7375,22.1936,135900000,3.506666667,N/A,N/A,1.496378779,7.000654697,3.358750858,24.27275,0
Portugal,429,1,100,Onshore,0,2010,EDP,41.5452,-7.5546,135900000,4.683333333,N/A,N/A,1.402570248,4.43446207,1.73762451,100.2145,17
Bulgaria,430,0,100,Onshore,1,2009,NVision Energy,42.6794,23.3017,135900000,4.006666667,N/A,N/A,2.747324228,6.450785637,-3.347141367,21.28618,13
Norway,431,0,100,Onshore,1,2009,Fred Olsen Renewables AB,63.8603,10.6909,135900000,4.89,N/A,N/A,2.197387218,1.805326462,-1.940364695,42.54396,21
Norway,432,0,100,Onshore,1,2008,Statkraft AS,59.8465,5.1894,135900000,6.533333333,N/A,N/A,3.753922939,6.826536655,0.481919541,47.54502,21
Bulgaria,433,0,100,Onshore,1,2006,Ecosource Energy,42.6543,23.3332,135900000,3.963333333,N/A,N/A,7.25534153,4.616057396,6.802588987,27.11982,14
Norway,434,0,100,Onshore,1,2004,Norsk Miljokraft AS,70.3304,30.9349,135900000,8.183333333,N/A,N/A,0.454491556,0.240770549,4.014588017,43.82903,21
Russia,435,1,99,Onshore,0,2020,OOO Treti Vetropark FRV,48.0941,39.9568,134541000,6.403333333,N/A,N/A,3.381659372,3.022539884,-2.653654501,19.15613,12
Finland,436,0,99,Onshore,0,2020,Fortum,62.3514,21.4920,134541000,5.59,N/A,N/A,0.290554556,0.1566084,-2.49103621,75.26035,20
Norway,437,0,99,Onshore,0,2020,Energy Infrastructure Partners (EIP); Fortum,68.0394,16.6576,134541000,5.536666667,N/A,N/A,1.286584907,-3.487698987,-1.278171785,46.1091,21
Ukraine,438,1,99,Onshore,1,2019,DTEK,46.7053,35.9583,134541000,7.013333333,N/A,N/A,7.886000156,5.909555435,3.199503862,50.61624,5
Italy,439,0,99,Onshore,0,2009,EDF,39.9041,8.5844,134541000,5.466666667,N/A,N/A,0.774766505,-0.124860622,-5.305154033,116.1213,17
Greece,440,0,98,Offshore hard mount,1,?,Terna Energy,39.5402,25.0687,258546017.3,,0.44,95.76,,,,,
Ukraine,441,1,98,Onshore,1,2019,Longwing Ukraine LTD,46.6148,35.4379,133182000,6.823333333,N/A,N/A,7.886000156,5.909555435,3.199503862,50.61624,5
Sweden,442,1,98,Onshore,0,2017,Skelleftea Kraft AB ; Fortum,65.3019,17.1294,133182000,4.336666667,N/A,N/A,1.867,6.730000019,1.825156015,41.10535,21
Italy,443,0,98,Onshore,0,2011,ERG,38.7487,16.4848,133182000,5.886666667,N/A,N/A,2.780637741,5.178144455,0.695463129,119.1057,16
Poland,444,1,98,Onshore,0,2010,EDP,52.9643,17.1572,133182000,6.486666667,N/A,N/A,2.580699205,3.748763323,3.168927483,54.01033,15
United Kingdom,445,0,97.2,Offshore hard mount,0,2008,EIG Global Energy Partners ; Centrica PLC,53.1880,0.4465,252123872.4,7.78,6.06,9.21,3.481384993,4.696794987,-0.248797298,50.82737,21
United Kingdom,446,0,97.2,Offshore hard mount,0,2008,EIG Global Energy Partners ; Centrica PLC,53.1356,0.4515,252337599,7.78,6.85,10.6,3.481384993,4.696794987,-0.248797298,50.82737,21
Finland,447,0,97,Onshore,0,2023,WPD,66.7161,27.4334,131823000,4.46,N/A,N/A,6.250643222,-1.180894007,-1.163962815,77.02499,20
United Kingdom,448,0,96.8,Offshore hard mount,0,2018,Vattenfall AB,57.1483,-2.0696,255307402.5,8.253333333,0.17,42.8,2.32,1.855871797,1.405190266,86.34547,19
Greece,449,0,96.6,Onshore,1,?,Volterra SA,40.4474,25.6101,131279400,,N/A,N/A,,,,,
Greece,450,0,96,Offshore hard mount,1,?,Velocita Energies,39.8365,19.5021,254691072,,5.76,96.23,,,,,
Netherlands,451,0,96,Onshore,0,2022,RWE AG,53.4386,6.8342,130464000,8.185,N/A,N/A,10.00121,71.42795733,5.00723459,48.35363,21
United Kingdom,452,0,96,Onshore,0,2019,RWE,53.0710,-3.4892,130464000,6.22,N/A,N/A,1.791000009,2.081448078,1.624475159,85.65751,19
France,453,0,96,Onshore,0,2016,EDF,42.7171,2.7739,130464000,4.29,N/A,N/A,0.183335871,-0.11499691,0.860031082,98.02478,19
Sweden,454,0,96,Onshore,0,2013,Stena Renewables Energy AB,57.2658,15.1829,130464000,4.37,N/A,N/A,-0.044290561,5.775034904,1.137716498,40.3475,21
Bulgaria,455,0,96,Onshore,1,2009,Synergics Energy Development,43.4333,28.3390,130464000,5.956666667,N/A,N/A,2.747324228,6.450785637,-3.347141367,21.28618,13
Italy,456,0,96,Onshore,0,2009,Vent 1 Capo Rizzuto S.R.L.,38.9578,17.0777,130464000,5.443333333,N/A,N/A,0.774766505,-0.124860622,-5.305154033,116.1213,17
Italy,457,1,96,Onshore,0,2005,Saras Group SPA,39.7201,9.4944,130464000,5.65,N/A,N/A,1.985297203,4.895356655,0.76241072,106.1756,18
Sweden,458,0,95,Onshore,0,2021,BayWa R.E. AG,56.8938,14.3411,129105000,4.52,N/A,N/A,2.163197,16.98293,5.937508573,36.83366,21
Norway,459,0,95,Onshore,0,2020,EWZ,58.6738,5.9296,129105000,7.336666667,N/A,N/A,1.286584907,-3.487698987,-1.278171785,46.1091,21
Ireland,460,0,95,Onshore,0,2017,Energia,54.6621,-7.9456,129105000,7.843333333,N/A,N/A,0.251,2.02969408,10.04962854,65.23382,16
Ukraine,461,1,95,Onshore,1,2012,DTEK,46.6375,35.7807,129105000,6.76,N/A,N/A,0.590463579,9.235818863,0.152314967,37.54154,7
Malta,462,0,95,Offshore hard mount,1,2009,Malta Resources Authority,36.0001,14.3913,250998882.5,6.476666667,1.83,48.81,2.090289593,-2.2,-1.395342555,66.3402,17
Poland,463,0,94,Onshore,0,2021,Ignitis Grupe AB,52.2159,19.1344,127746000,6.393333333,N/A,N/A,5.1,12.14167,6.927182661,53.62216,15
Norway,464,1,94,Onshore,0,2019,TronderEnergi Kraft AS ; Statkraft AS ; Nordic Wind Power DA,63.5252,8.8039,127746000,5.603333333,N/A,N/A,2.167999983,0.128422707,1.123777874,40.55646,21
United Kingdom,465,0,94,Onshore,0,2016,Scottish and Southern Energy (SSE); Greencoat,57.2515,-4.2558,127746000,7.653333333,N/A,N/A,1,1.675421953,1.921710078,87.82519,19
Poland,466,0,94,Onshore,0,2015,PGE Energia Odnawialna SA,54.6673,17.7390,127746000,7.15,N/A,N/A,-0.874127567,0.702593625,4.431767003,51.34457,16
Sweden,467,0,94,Onshore,0,2010,Nordisk Vindkraft,64.0349,15.6518,127746000,4.043333333,N/A,N/A,1.157981992,0,5.750735843,38.30193,21
United Kingdom,468,0,94,Onshore,1,2007,Scottish and Southern Energy (SSE),58.0535,-6.4839,127746000,9.64,N/A,N/A,2.334154129,3.412236929,2.62488002,43.1739,21
Ireland,469,1,93,Onshore,0,2019,ESB Group; Bord na Mona PLC,54.1444,-9.7427,126387000,9.316666667,N/A,N/A,0.876999974,1.085116029,5.040550288,55.92433,18
United Kingdom,470,0,93,Onshore,1,2011,RWE AG,57.1824,-4.0286,126387000,7.16,N/A,N/A,3.884572744,2.714504004,1.138362347,81.42507,21
France,471,1,92.4,Onshore,0,2019,En Avel Braz,50.5829,2.7487,125571600,7.046666667,N/A,N/A,1.299999952,1.744135022,2.027446476,97.88586,19
Sweden,472,0,92,Onshore,0,2020,KGAL Group,59.1560,14.2238,125028000,4.61,N/A,N/A,0.497367319,-0.12742566,-2.005337504,40.31189,21
Sweden,473,0,92,Onshore,0,2012,Svevind AB,63.5243,19.2663,125028000,5.533333333,N/A,N/A,0.888376236,0,-0.414465721,37.68633,21
United Kingdom,474,0,92,Onshore,0,2005,Ventient Energy,57.3339,-4.1030,125028000,7.633333333,N/A,N/A,2.056553125,3.290127754,2.732660761,41.00035,21
Spain,475,1,91.2,Onshore,0,2022,Enel,39.6430,-1.7426,123940800,5.67,N/A,N/A,8.390576,29.4164652,6.179312226,109.4039,16
Spain,476,1,91.2,Onshore,0,2022,Enel,39.6374,-1.6991,123940800,5.67,N/A,N/A,8.390576,29.4164652,6.179312226,109.4039,16
Ireland,477,0,91,Onshore,0,2022,Amazon,54.6752,-8.1304,123669000,7.675,N/A,N/A,7.807375,41.09769564,8.619503552,43.14307,18
Ireland,478,0,91,Onshore,0,2022,GLIL Infrastructure,54.8001,-7.7790,123669000,7.995,N/A,N/A,7.807375,41.09769564,8.619503552,43.14307,18
Finland,479,0,91,Onshore,0,2020,Taaleri Energia Funds Management OY,64.9522,25.6971,123669000,4.913333333,N/A,N/A,0.290554556,0.1566084,-2.49103621,75.26035,20
Finland,480,0,90,Onshore,0,2023,Alandsbanken; YIT Rakennus OY,63.7019,25.7522,122310000,4.38,N/A,N/A,6.250643222,-1.180894007,-1.163962815,77.02499,20
Finland,481,0,90,Onshore,0,2023,NTR plc,63.6499,25.2519,122310000,4.4,N/A,N/A,6.250643222,-1.180894007,-1.163962815,77.02499,20
France,482,1,90,Onshore,0,2022,TTR Energy,48.6765,3.9677,122310000,5.995,N/A,N/A,5.222367,23.73546019,2.570840474,111.9513,19
Russia,483,1,90,Onshore,0,2021,Enel,46.9446,38.8756,122310000,6.8,N/A,N/A,6.694456,5.109167,5.614290376,16.397,12
Sweden,484,0,90,Onshore,0,2021,Prime Capital AG,63.9005,17.9490,122310000,4.173333333,N/A,N/A,2.163197,16.98293,5.937508573,36.83366,21
Norway,485,0,90,Onshore,1,2020,Statkraft AS,58.2490,6.9677,122310000,6.86,N/A,N/A,1.286584907,-3.487698987,-1.278171785,46.1091,21
Finland,486,0,90,Onshore,0,2020,Fortum,62.5252,21.2809,122310000,5.59,N/A,N/A,0.290554556,0.1566084,-2.49103621,75.26035,20
Ireland,487,0,90,Onshore,0,2018,Greencoat,52.2416,-9.2864,122310000,7.846666667,N/A,N/A,0.49,5.104811668,7.544341908,61.4716,16
United Kingdom,488,1,90,Onshore,0,2017,Fred Olsen Renewables AB,55.2922,-4.2031,122310000,7.663333333,N/A,N/A,2.683,2.041315317,2.656504893,86.72315,19
Netherlands,489,0,90,Onshore,0,2016,RWE AG,52.6249,5.6457,122310000,7.01,N/A,N/A,0.316665649,0.598285437,2.424285765,60.8827,21
Norway,490,0,90,Onshore,1,2014,RWE,60.1989,12.2194,122310000,3.973333333,N/A,N/A,2.041705608,1.291266203,2.048131999,29.66098,21
Sweden,491,0,90,Onshore,1,2014,Statkraft AS,57.5859,16.3405,122310000,4.756666667,N/A,N/A,-0.179638565,3.430000067,2.295763809,45.20099,21
Russia,492,0,90,Onshore,1,2014,Wind Power Generation Company,45.3675,36.7805,122310000,7.063333333,N/A,N/A,7.820171356,7.741281033,0.736267222,15.13582,12
Sweden,493,0,90,Onshore,0,2014,Inter IKEA Group,62.1451,13.5449,122310000,4.34,N/A,N/A,-0.179638565,3.430000067,2.295763809,45.20099,21
Romania,494,1,90,Onshore,0,2013,Renovatio Power SRL,44.3379,28.0336,122310000,5.8,N/A,N/A,3.991640568,4.1,0.278771877,37.78312,11
Norway,495,0,90,Onshore,1,2012,Statkraft AS,63.3790,9.1172,122310000,5.21,N/A,N/A,0.696865737,-1.873118162,2.717959267,30.90833,21
Norway,496,0,90,Onshore,1,2011,Bjerkreim Vind AS,58.5809,6.1536,122310000,5.873333333,N/A,N/A,1.284952641,0.927414358,1.105656027,29.61085,21
Italy,497,0,90,Onshore,0,2011,Enel,39.1988,8.4385,122310000,6.293333333,N/A,N/A,2.780637741,5.178144455,0.695463129,119.1057,16
Norway,498,0,90,Onshore,1,2010,Zephyr AS,58.3675,6.2126,122310000,5.846666667,N/A,N/A,2.418909788,5.216736317,0.787051845,42.9516,21
Norway,499,0,90,Onshore,1,2010,Statkraft AS,63.0811,8.4560,122310000,4.58,N/A,N/A,2.418909788,5.216736317,0.787051845,42.9516,21
United Kingdom,500,0,90,Offshore hard mount,0,2009,RWE AG ; Macquarie Capital,53.3776,-3.6402,234254640,7.876666667,9.28,10.79,1.9721632,2.176790476,-4.62055372,64.91501,21
United Kingdom,501,1,90,Offshore hard mount,0,2007,Orsted,53.4882,-3.1849,233991615,7.676666667,8.23,6.3,2.334154129,3.412236929,2.62488002,43.1739,21
Portugal,502,1,90,Onshore,0,2007,Novenergia,40.6198,-8.1508,122310000,3.66,N/A,N/A,2.453965664,3.635817766,2.506579715,72.72796,18
United Kingdom,503,0,90,Offshore hard mount,0,2006,Orsted,53.9915,-3.2983,234061755,7.963333333,8.51,12.76,2.518891573,4.665380001,2.380694025,42.05836,21
United Kingdom,504,1,90,Offshore hard mount,0,2005,Vattenfall AB,51.4606,1.0938,234392415,7.783333333,9.83,6.24,2.056553125,3.290127754,2.732660761,41.00035,21
Norway,505,0,90,Onshore,1,2004,Norsk Hydro ASA,69.9482,29.4475,122310000,6.053333333,N/A,N/A,0.454491556,0.240770549,4.014588017,43.82903,21
United Kingdom,506,1,88.4,Onshore,0,2019,Banks Renewables,55.6327,-4.0361,120135600,7.703333333,N/A,N/A,1.791000009,2.081448078,1.624475159,85.65751,19
Finland,507,0,88,Onshore,0,2022,Smart Windpower Oy,64.3988,24.2213,119592000,5.18,N/A,N/A,7.123507,30.69680686,1.450048073,73.94323,20
Finland,508,0,88,Onshore,0,2022,Smart Windpower Oy,64.3978,24.2269,119592000,5.18,N/A,N/A,7.123507,30.69680686,1.450048073,73.94323,20
Norway,509,0,88,Offshore floating,0,2022,Equinor ASA,61.3284,2.2592,373580533.3,9.605,123.73,271.31,5.764123,27.03541505,3.005635161,36.27051,21
Russia,510,0,88,Onshore,0,2021,Gazprombank; Fortum,50.4055,44.7940,119592000,6.663333333,N/A,N/A,6.694456,5.109167,5.614290376,16.397,12
United Kingdom,511,1,88,Onshore,1,2015,Scottish and Southern Energy (SSE),55.2547,-4.7235,119592000,8.18,N/A,N/A,0.40160796,1.249046922,2.222888449,87.86669,21
Ireland,512,0,88,Onshore,0,2015,Greencoat,52.2681,-9.1004,119592000,8.206666667,N/A,N/A,-0.289875358,1.602922201,24.61556998,73.99682,14
Norway,513,0,88,Onshore,0,2021,TronderEnergi Kraft AS ; Stadtwerke Munchen GmbH,63.1298,11.1959,119592000,5.306666667,N/A,N/A,3.483881,44.51904,3.908686777,41.64119,21
Russia,514,0,87.8,Onshore,0,2021,Gazprombank; Fortum,48.1409,45.9459,119320200,6.576666667,N/A,N/A,6.694456,5.109167,5.614290376,16.397,12
Russia,515,0,87.8,Onshore,0,2021,Gazprombank; Fortum,48.1794,45.8944,119320200,6.56,N/A,N/A,6.694456,5.109167,5.614290376,16.397,12
Poland,516,0,87,Onshore,1,2008,Green Bear Corporation,52.3072,15.4412,118233000,6.7,N/A,N/A,4.164969444,9.043045044,4.383770693,46.73496,15
France,517,0,87,Onshore,0,2008,EDF,44.1633,2.8282,118233000,5.643333333,N/A,N/A,2.812865257,4.735337734,0.380171426,69.73569,21
Sweden,518,0,86,Onshore,0,2023,Orron Energy AB,57.1052,15.2983,116874000,4.36,N/A,N/A,8.548624897,-9.78123785,-0.310670185,36.37123,21
Finland,519,1,86,Onshore,0,2022,Helen Oy; CPC Finland Oy,62.1594,21.7231,116874000,4.795,N/A,N/A,7.123507,30.69680686,1.450048073,73.94323,20
Sweden,520,0,86,Onshore,0,2022,Reichmuth Infrastruktur II KMGK; NTR plc,57.8022,14.6240,116874000,4.535,N/A,N/A,8.369291,32.9286103,1.459288508,33.75297,21
Sweden,521,0,86,Onshore,0,2022,Octopus; Mirova,58.0024,12.5278,116874000,4.47,N/A,N/A,8.369291,32.9286103,1.459288508,33.75297,21
Netherlands,522,0,86,Onshore,0,2021,Eurus Energy,53.0892,6.9671,116874000,7.366666667,N/A,N/A,2.67572,17.2592,6.276830732,50.43565,21
Norway,523,0,86,Onshore,1,2017,SFE Produksjon AS,61.8821,5.0262,116874000,6.89,N/A,N/A,1.875,3.007102489,2.463746285,38.31382,21
Portugal,524,1,86,Onshore,0,2016,Ventinveste Eolica SGPS SA,40.9692,-7.6838,116874000,5.006666667,N/A,N/A,0.607398987,0.385936558,2.004141094,131.5057,11
Sweden,525,1,86,Offshore hard mount,1,2005,E.ON,56.3458,16.2536,223862472,5.71,9.36,16.87,0.45317325,3.900000095,2.793176855,48.83379,21
Greece,526,0,85,Onshore,1,?,Anaptexe Epeirou Wind Single Member PVT CO,39.7174,21.2552,115515000,,N/A,N/A,,,,,
Ireland,527,0,85,Onshore,1,2015,Element Power,53.8743,-6.8034,115515000,7.486666667,N/A,N/A,-0.289875358,1.602922201,24.61556998,73.99682,14
Sweden,528,1,85,Onshore,0,2015,KfW Ipex-Bank; Skandinaviska Enskilda Banken Helsinki Branch AB,65.3908,20.8435,115515000,4.096666667,N/A,N/A,-0.046784438,4.599999905,4.410140676,44.03559,21
Sweden,529,0,85,Onshore,0,2014,SCA Energy AB; Statkraft AS,62.7092,15.9192,115515000,4.113333333,N/A,N/A,-0.179638565,3.430000067,2.295763809,45.20099,21
Romania,530,1,85,Onshore,0,2012,Macquarie Capital,44.6091,28.5670,115515000,6.1,N/A,N/A,3.337636948,6.9,1.903616968,35.37141,12
Greece,531,0,84,Onshore,1,?,Terna Energy,36.1154,27.8120,114156000,,N/A,N/A,,,,,
Estonia,532,0,84,Offshore hard mount,1,2020,Sunly Energy,59.1201,22.0901,226057748,8.516666667,19.46,44.29,-0.444531098,-3.722360805,-2.883810041,18.28885,18
Estonia,533,0,84,Offshore hard mount,1,2020,Sunly Energy,58.1425,21.8650,219016420,8.516666667,10.9,19.49,-0.444531098,-3.722360805,-2.883810041,18.28885,18
Sweden,534,1,84,Onshore,0,2020,CapMan Infra; Red Rock Power LTD,62.5758,14.9225,114156000,4.203333333,N/A,N/A,0.497367319,-0.12742566,-2.005337504,40.31189,21
Norway,535,0,84,Onshore,0,2019,Arzteversorgung Westfalen-Lippe,69.5733,18.2224,114156000,5.403333333,N/A,N/A,2.167999983,0.128422707,1.123777874,40.55646,21
Ireland,536,0,84,Onshore,0,2015,Bord na Mona PLC,53.2744,-7.2464,114156000,7.573333333,N/A,N/A,-0.289875358,1.602922201,24.61556998,73.99682,14
Romania,537,1,84,Onshore,0,2013,Public Power Corporation SA,44.9140,28.3318,114156000,5.756666667,N/A,N/A,3.991640568,4.1,0.278771877,37.78312,11
Romania,538,1,84,Onshore,0,2013,Windkraft Simonsfeld AG,45.7558,21.5522,114156000,4.736666667,N/A,N/A,3.991640568,4.1,0.278771877,37.78312,11
Italy,539,0,84,Onshore,0,2011,Alpiq,37.7467,13.5984,114156000,5.29,N/A,N/A,2.780637741,5.178144455,0.695463129,119.1057,16
United Kingdom,540,0,84,Offshore hard mount,0,2010,E.ON,54.7642,-3.6955,223925492,7.513333333,10.34,38.72,2.502840519,-0.361241519,2.233315126,75.86023,21
United Kingdom,541,0,83,Onshore,1,2017,E.ON,55.1400,-3.9400,112797000,7.61,N/A,N/A,2.683,2.041315317,2.656504893,86.72315,19
Poland,542,1,83,Onshore,0,2015,CEE; GEO Renewables,52.4240,21.8158,112797000,6.32,N/A,N/A,-0.874127567,0.702593625,4.431767003,51.34457,16
Finland,543,0,82.5,Onshore,0,2023,Renewable Power Capital,63.1248,21.6941,112117500,4.75,N/A,N/A,6.250643222,-1.180894007,-1.163962815,77.02499,20
Germany,544,1,82,Onshore,0,2024,Landwind Group,52.0736,10.7999,111438000,6.44,N/A,N/A,5.946436677,6.403984767,-0.26643841,62.66008,21
Poland,545,1,82,Onshore,0,2013,TAURON Polska Energia SA,54.4946,16.6859,111438000,7.296666667,N/A,N/A,0.991986692,1.963978171,0.684240607,57.11583,15
United Kingdom,546,1,81.6,Onshore,0,2023,ERG,55.3721,-4.0513,110894400,7.81,N/A,N/A,6.793967068,8.10650006,0.339966158,101.1471,18
United Kingdom,547,0,81.6,Onshore,1,2014,Community Windpower,55.7195,-2.8062,110894400,7.853333333,N/A,N/A,1.425663471,1.997074246,3.194637313,87.09433,21
Poland,548,1,81,Onshore,0,2022,Energix Renewable Energies,53.0499,14.6213,110079000,6.45,N/A,N/A,14.3,29.09904934,5.255456974,49.1991,15
Finland,549,0,81,Onshore,0,2019,PROKON; Neoen,62.6307,21.3798,110079000,5.603333333,N/A,N/A,1.136999965,2.988419056,1.349738438,65.24149,20
Austria,550,1,81,Onshore,0,2014,Energie Burgenland,47.7964,17.0391,110079000,6.12,N/A,N/A,1.605804801,1.590000033,0.755799077,84.04751,20
Belgium,551,0,81,Onshore,0,2011,China General Nuclear Power Group (CGN),50.4138,4.0744,110079000,6.51,N/A,N/A,3.532081127,8.055041313,1.931154979,103.4947,18
Portugal,552,1,81,Onshore,0,2009,Finerge SA,40.1718,-7.8336,110079000,4.266666667,N/A,N/A,-0.83552748,2.059766054,-3.122078123,87.79909,17
Spain,553,0,80,Onshore,1,2023,Capital Energy,42.5624,-6.6033,108720000,3.98,N/A,N/A,3.532361335,-15.78456276,2.675663493,105.0343,16
Finland,554,0,80,Onshore,0,2023,BlackRock,64.1820,23.9210,108720000,4.98,N/A,N/A,6.250643222,-1.180894007,-1.163962815,77.02499,20
Netherlands,555,0,80,Onshore,0,2022,TINC,51.7373,4.0609,108720000,7.27,N/A,N/A,10.00121,71.42795733,5.00723459,48.35363,21
Poland,556,1,80,Onshore,0,2020,Israel Infrastructure Fund,54.2788,16.5552,108720000,7.723333333,N/A,N/A,3.374469726,7.48961993,-2.035568824,57.19533,15
Norway,557,0,80,Onshore,1,2015,Troms Kraft Produksjon AS,69.2059,20.6559,108720000,4.856666667,N/A,N/A,2.171136618,1.300126076,1.857339726,34.33425,21
Serbia,558,1,80,Onshore,1,2015,Gaberia International; Loger,44.8706,20.6480,108720000,5.17,N/A,N/A,1.392163873,#N/A,1.295738512,69.85422,9
Romania,559,1,80,Onshore,0,2013,Joannou & Paraskevaides LTD; EnerCap; Marguerite Fund,43.8904,28.1681,108720000,5.94,N/A,N/A,3.991640568,4.1,0.278771877,37.78312,11
Romania,560,1,80,Onshore,0,2012,Eolica Dobrogea,44.6408,28.6180,108720000,6.1,N/A,N/A,3.337636948,6.9,1.903616968,35.37141,12
Norway,561,0,80,Onshore,1,2011,Statskog SF,68.4422,17.8827,108720000,4.85,N/A,N/A,1.284952641,0.927414358,1.105656027,29.61085,21
Norway,562,0,80,Onshore,1,2011,Bjerkreim Vind AS,58.5662,6.3077,108720000,5.873333333,N/A,N/A,1.284952641,0.927414358,1.105656027,29.61085,21
Sweden,563,0,80,Onshore,0,2010,Vattenfall AB,64.2283,18.3872,108720000,3.936666667,N/A,N/A,1.157981992,0,5.750735843,38.30193,21
France,564,0,80,Onshore,0,2010,Engie,48.3835,5.3403,108720000,5.986666667,N/A,N/A,1.531118512,3.301385641,2.000324727,86.31331,21
Norway,565,0,80,Onshore,1,2009,Mjos og Kollsnes Vindpark AS,60.6998,5.0276,108720000,5.743333333,N/A,N/A,2.197387218,1.805326462,-1.940364695,42.54396,21
Norway,566,0,79.8,Onshore,0,2021,Vauban Infrastructure Partners,58.6493,6.8659,108448200,5.073333333,N/A,N/A,3.483881,44.51904,3.908686777,41.64119,21
Sweden,567,0,79,Onshore,0,2018,Munich RE AG,62.7163,16.8904,107361000,4.14,N/A,N/A,1.95,3.724690449,1.902964588,39.4871,21
Poland,568,0,79,Onshore,0,2015,EDP,52.9598,17.3152,107361000,6.496666667,N/A,N/A,-0.874127567,0.702593625,4.431767003,51.34457,16
Sweden,569,0,79,Onshore,0,2015,Fred Olsen Renewables AB,64.3025,19.9669,107361000,4.023333333,N/A,N/A,-0.046784438,4.599999905,4.410140676,44.03559,21
Ukraine,570,1,78,Onshore,0,2023,DTEK,46.9405,32.0635,106002000,6.19,N/A,N/A,12.84902228,9.908422232,5.324335374,82.32898,4
Finland,571,0,78,Onshore,0,2023,Ilmatar,63.0112,24.1308,106002000,4.45,N/A,N/A,6.250643222,-1.180894007,-1.163962815,77.02499,20
Norway,572,0,78,Onshore,1,2014,Zephyr AS,58.6882,6.0339,106002000,5.976666667,N/A,N/A,2.041705608,1.291266203,2.048131999,29.66098,21
Sweden,573,0,78,Onshore,0,2014,Jamtkraft AB,62.4546,14.6640,106002000,4.326666667,N/A,N/A,-0.179638565,3.430000067,2.295763809,45.20099,21
Netherlands,574,1,78,Onshore,0,2013,Winvast BV; Eneco; Vattenfall AB,51.4297,4.2314,106002000,6.843333333,N/A,N/A,2.506891727,3.017028093,-0.030232452,67.16063,20
Sweden,575,0,78,Onshore,0,2012,Jamtkraft AB; Skanska AB; OX2 AB,67.6301,20.1279,106002000,4.863333333,N/A,N/A,0.888376236,0,-0.414465721,37.68633,21
France,576,0,78,Onshore,0,2010,Engie,48.4667,5.2625,106002000,5.953333333,N/A,N/A,1.531118512,3.301385641,2.000324727,86.31331,21
Portugal,577,1,78,Onshore,0,2006,Ventient Energy,39.3901,-8.9457,106002000,5.203333333,N/A,N/A,3.1076684,3.856348753,1.625034638,73.67943,18
Portugal,578,1,78,Onshore,0,2006,Ventient Energy,40.1143,-7.9465,106002000,4.126666667,N/A,N/A,3.1076684,3.856348753,1.625034638,73.67943,18
Sweden,579,0,78,Onshore,1,2005,OX2 AB,62.2500,13.9500,106002000,4.506666667,N/A,N/A,0.45317325,3.900000095,2.793176855,48.83379,21
Netherlands,580,0,78,Offshore hard mount,1,2005,Eneco,52.6721,4.1602,207848992,8.206666667,31.52,22.3,1.688127518,4.622814655,2.033963249,49.57984,21
Portugal,581,1,78,Onshore,0,2005,Trustenergy SA,41.4841,-8.0672,106002000,3.793333333,N/A,N/A,2.27715683,4.368259907,0.781847758,72.24908,18
Germany,582,0,77,Onshore,0,2005,Allianz SE,51.8675,13.5280,104643000,6.433333333,N/A,N/A,1.546913624,2.818756342,0.885697236,66.46009,21
Spain,583,1,76.8,Onshore,0,2022,Energia Eolica Gregal SL,39.6113,-1.7928,104371200,5.67,N/A,N/A,8.390576,29.4164652,6.179312226,109.4039,16
Finland,584,0,76.5,Onshore,0,2023,Tolpanvaara Wind Farm OY,65.2669,27.6292,103963500,4.26,N/A,N/A,6.250643222,-1.180894007,-1.163962815,77.02499,20
Ukraine,585,1,76.5,Onshore,1,2021,Longyuan Power Overseas Investment CO LTD ; Hero Asia Investment LTD ; other,46.5892,30.8036,103963500,6.12,N/A,N/A,9.360625036,23.16,3.445620657,48.92479,6
Ireland,586,0,76,Onshore,0,2022,Bord na Mona PLC,53.2645,-7.0981,103284000,7.305,N/A,N/A,7.807375,41.09769564,8.619503552,43.14307,18
Norway,587,0,76,Onshore,0,2020,Luxcara GMBH,58.5924,5.8895,103284000,7.336666667,N/A,N/A,1.286584907,-3.487698987,-1.278171785,46.1091,21
Sweden,588,0,76,Onshore,0,2018,Energy Infrastructure Partners (EIP); Fortum,63.8966,17.4582,103284000,3.97,N/A,N/A,1.95,3.724690449,1.902964588,39.4871,21
Poland,589,1,76,Onshore,0,2015,PGE Energia Odnawialna SA,53.7087,15.7489,103284000,6.793333333,N/A,N/A,-0.874127567,0.702593625,4.431767003,51.34457,16
Italy,590,0,76,Onshore,0,2011,Tozzi Sud SPA,41.2015,15.2174,103284000,4.85,N/A,N/A,2.780637741,5.178144455,0.695463129,119.1057,16
